orf_id	contig_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	vir_group	vir_sp_seq_ID_v2	phylo_virus_species	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus	ref_suggestions	followup_phylo_group
F1425_NODE_145_length_1791_cov_19.676843_1	F1425_NODE_145_length_1791_cov_19.676843	N	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	1790	3	REVERSE	1787	UJQ92001.1	623	56.8	565	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	NA	Botourmiaviridae sp.	56.8	F1425_NODE_145_length_1791_cov_19.676843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1156_NODE_25_length_2967_cov_121.096841_1	F1156_NODE_25_length_2967_cov_121.096841	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	296	2878	FORWARD	2582	QGY72620.1	827	87.7	828	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Penoulivirus	Penoulivirus thetaplasmoparae	87.7	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90	Botourmiaviridae	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90_F1156C25F1156	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90	F1156_NODE_25_length_2967_cov_121.096841_F1156_round2_F1156_detect_F1156_round2_F1156_round3_frame2_1	C25	F1156	F1156	phylogenetically related, high RdRp aa similarity ~88%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Lenarviricota	19	9	Culex		other_clades
F1156_NODE_25_length_2967_cov_121.096841_1	F1156_NODE_25_length_2967_cov_121.096841	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	296	2878	FORWARD	2582	QGY72620.1	827	87.7	828	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Penoulivirus	Penoulivirus thetaplasmoparae	87.7	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90	Botourmiaviridae	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90_F1156C25F1345	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90	F1156_NODE_25_length_2967_cov_121.096841_F1156_round2_F1345_detect_F1345_round2_F1345_round3_frame3_1	C25	F1156	F1345	phylogenetically related, high RdRp aa similarity ~88%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Lenarviricota	19	28	Aedes		other_clades
F1156_NODE_65_length_2243_cov_7.962523_2	F1156_NODE_65_length_2243_cov_7.962523	N	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2241	52	REVERSE	2189	QZE12031.1	712	58	695	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sclerotinia sclerotiorum narnavirus 1	58	F1156_NODE_65_length_2243_cov_7.962523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1157_NODE_12_length_1742_cov_6.048014_1	F1157_NODE_12_length_1742_cov_6.048014	N	Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta	1741	86	REVERSE	1655	QKI79987.1	530	92.7	535	Kitrinoviricota	Kitrinoviricota	NA	NA	NA	NA	Erysiphe necator associated virus 5	92.7	Erysiphe_necator_associated_virus_5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1001_NODE_2217_length_1552_cov_1570.360721_1	F1001_NODE_2217_length_1552_cov_1570.360721	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	37	1497	FORWARD	1460	DAZ85671.1	471	100	471	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Aedes partiti-like virus 1	100	Aedes_partiti_like_virus_1	Partitiviridae	Aedes_partiti_like_virus_1_F1001C2217F1001	Aedes_partiti_like_virus_1	F1001_NODE_2217_length_1552_cov_1570.360721_F1001_MapVerif_F1001_detect_F1001_round2_F1001_round3_frame1_1	C2217	F1001	F1001	phylogenetically related, high RdRp aa similarity ~100%	_	Aedes_partiti_like_virus_1	Aedes aegypti	correct	Aedes aegypti	_	cluster26	dsRNA	segmented	Pisuviricota	4	26	Aedes		other_clades
F1322_NODE_126_length_1586_cov_15.097322_1	F1322_NODE_126_length_1586_cov_15.097322	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	1586	3	REVERSE	1583	QIR30290.1	1090	80.5	528	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Plasmopara viticola lesion associated narnavirus 11	80.5	Plasmopara_viticola_lesion_associated_narnavirus_11	Narnaviridae	Plasmopara_viticola_lesion_associated_narnavirus_11_F1322C126F1322	Plasmopara_viticola_lesion_associated_narnavirus_11	F1322_NODE_126_length_1586_cov_15.097322_F1322_MapVerif_F1322_detect_F1322_round2_F1322_round3_frame1_1	C126	F1322	F1322	phylogenetically related, high RdRp similarity up to ~79% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15	(+)ssRNA	non-segmented	Lenarviricota	17	15	Culex		other_clades
F1339_NODE_266_length_3313_cov_7.505832_2	F1339_NODE_266_length_3313_cov_7.505832	G	ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	2317	764	REVERSE	1553	QDH86440.1	488	43.8	486	Tolivirales	Kitrinoviricota	Tolucaviricetes	Tolivirales	NA	NA	Riboviria sp.	43.8	Gatopsed_virus	Tombusviridae	Gatopsed_virus_F1339C266F1339	Gatopsed_virus	F1339_NODE_266_length_3313_cov_7.505832_F1339_MapVerif_F1339_detect_F1339_round2_F1339_round3_frame1_1	C266	F1339	F1339	phylogenetically related, not high enough RdRp similarity: ~43% aa to Riboviria sp. QDH86440.1	Less than 85% sequence identity in the CP (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/277/tombusviridae). Needs to be verified on CP dataset.	NA	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(+)ssRNA	non-segmented	Kitrinoviricota	15	26	Aedes		other_clades
F1497_NODE_21_length_4260_cov_380.850178_2	F1497_NODE_21_length_4260_cov_380.850178	G	ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	2554	932	REVERSE	1622	QXN75445.1	494	59.2	493	Tolivirales	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	NA	Grapevine-associated tombus-like virus 4	59.2	Getately_virus	Tombusviridae	Getately_virus_F1497C21F1497	Getately_virus	F1497_NODE_21_length_4260_cov_380.850178_F1497_MapVerif_F1497_detect_F1497_round2_F1497_round3_frame3_1	C21	F1497	F1497	phylogenetically related, not high enough RdRp similarity: ~59% aa to QXN75445	Less than 85% sequence identity in the CP (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/277/tombusviridae). Needs to be verified on CP dataset.	NA	Mansonia uniformis	misannotated, mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	(+)ssRNA	non-segmented	Kitrinoviricota	15	11	Culex		other_clades
F1497_NODE_77_length_2882_cov_265.681995_2	F1497_NODE_77_length_2882_cov_265.681995	N	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	2001	109	REVERSE	1892	QDB74980.1	574	72.7	571	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	NA	NA	Penicillium miczynskii RNA virus 1	72.7	F1497_NODE_77_length_2882_cov_265.681995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1497_NODE_136_length_2378_cov_1144.077056_1	F1497_NODE_136_length_2378_cov_1144.077056	G	Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta	2376	70	REVERSE	2306	QHG11072.1	763	75.1	763	Pisuviricota	Pisuviricota	NA	NA	NA	NA	Plasmopara viticola lesion associated polymycovirus 3	75.1	F1497_NODE_136_length_2378_cov_1144.077056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1414_NODE_269_length_1737_cov_116.394768_1	F1414_NODE_269_length_1737_cov_116.394768	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	1684	68	REVERSE	1616	YP_052856.2	539	93.7	539	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Penicillium stoloniferum virus S	93.7	Penicillium_stoloniferum_virus_S	Partitiviridae	Penicillium_stoloniferum_virus_S_F1414C269F1414	Penicillium_stoloniferum_virus_S	F1414_NODE_269_length_1737_cov_116.394768_F1414_MapVerif_F1414_detect_F1414_round2_F1414_round3_frame3_1	C269	F1414	F1414	phylogenetically related, high RdRp aa similarity ~93%	_	Penicillium_stoloniferum_virus_S	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10	dsRNA	segmented	Pisuviricota	4	10	Culex		other_clades
F1414_NODE_269_length_1737_cov_116.394768_1	F1414_NODE_269_length_1737_cov_116.394768	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	1684	68	REVERSE	1616	YP_052856.2	539	93.7	539	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Penicillium stoloniferum virus S	93.7	Penicillium_stoloniferum_virus_S	Partitiviridae	Penicillium_stoloniferum_virus_S_F1414C269F1456	Penicillium_stoloniferum_virus_S	F1414_NODE_269_length_1737_cov_116.394768_F1414_MapVerif_F1456_detect_F1456_round2_F1456_round3_frame3_1	C269	F1414	F1456	phylogenetically related, high RdRp aa similarity ~93%	_	Penicillium_stoloniferum_virus_S	Culex vishnui.g	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	dsRNA	segmented	Pisuviricota	4	11	Culex		other_clades
F1015_NODE_16_length_5365_cov_6.108851_2	F1015_NODE_16_length_5365_cov_6.108851	N	ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	1069	2880	FORWARD	1811	QKF95588.1	566	100	566	Tolivirales	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	NA	Zizania latifolia tombusvirus	100	Zizania_latifolia_tombusvirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1015_NODE_579_length_2145_cov_6.731100_1	F1015_NODE_579_length_2145_cov_6.731100	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	1	1896	FORWARD	1895	QIP68025.1	618	91.7	618	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Bremia lactucae associated ourmia-like virus 1	91.7	Bremia_lactucae_associated_ourmia_like_virus_1_subsp1	Botourmiaviridae	Bremia_lactucae_associated_ourmia_like_virus_1_F1015C579F1292	Bremia_lactucae_associated_ourmia_like_virus_1	F1015_NODE_579_length_2145_cov_6.731100_F1015_round2_F1292_detect_F1292_round2_F1292_round3_frame1_1	C579	F1015	F1292	phylogenetically related, high RdRp aa similarity ~90-93%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae, Bremia_lactucae_associated_ourmia_like_virus_1 was submitted earlier	NA	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6	(+)ssRNA	non-segmented	Lenarviricota	19	6	Culex		other_clades
F1015_NODE_579_length_2145_cov_6.731100_1	F1015_NODE_579_length_2145_cov_6.731100	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	1	1896	FORWARD	1895	QIP68025.1	618	91.7	618	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Bremia lactucae associated ourmia-like virus 1	91.7	Bremia_lactucae_associated_ourmia_like_virus_1_subsp1	Botourmiaviridae	Bremia_lactucae_associated_ourmia_like_virus_1_F1015C579F1015	Bremia_lactucae_associated_ourmia_like_virus_1	F1015_NODE_579_length_2145_cov_6.731100_F1015_round2_F1015_detect_F1015_round2_F1015_round3_frame1_1	C579	F1015	F1015	phylogenetically related, high RdRp aa similarity ~90-93%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae, Bremia_lactucae_associated_ourmia_like_virus_1 was submitted earlier	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Lenarviricota	19	28	Aedes		other_clades
F1560_NODE_544_length_2623_cov_546.129283_1	F1560_NODE_544_length_2623_cov_546.129283	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	11	2557	FORWARD	2546	APG77159.1	750	32.9	771	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Hubei narna-like virus 20	32.9	F1560_NODE_544_length_2623_cov_546.129283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1070_NODE_95_length_2371_cov_2.746114_1	F1070_NODE_95_length_2371_cov_2.746114	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	436	2370	FORWARD	1934	QKI79944.1	745	67	522	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 115	67	Funkelyfabi_virus	Botourmiaviridae	Funkelyfabi_virus_F1070C95F1070	Funkelyfabi_virus	F1070_NODE_95_length_2371_cov_2.746114_F1070_round2_F1070_detect_F1070_round2_F1070_round3_frame1_1	C95	F1070	F1070	phylogenetically related, not high enough RdRp aa similarity ~60%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Lenarviricota	19	28	Aedes		other_clades
F1611_NODE_54_length_2710_cov_128.028249_3	F1611_NODE_54_length_2710_cov_128.028249	N	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2710	50	REVERSE	2660	UHR49680.1	759	30.8	815	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sanya cydistomyia duplonotatay narnavirus 1	30.8	F1611_NODE_54_length_2710_cov_128.028249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1611_NODE_77_length_2429_cov_31.769166_1	F1611_NODE_77_length_2429_cov_31.769166	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	19	2046	FORWARD	2027	QKI79894.1	654	90.2	654	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 64	90.2	Plasmopara_viticola_lesion_associated_ourmia_like_virus_3	Botourmiaviridae	Plasmopara_viticola_lesion_associated_ourmia_like_virus_3_F1611C77F1611	Plasmopara_viticola_lesion_associated_ourmia_like_virus_3	F1611_NODE_77_length_2429_cov_31.769166_F1611_round2_F1611_detect_F1611_round2_F1611_round3_frame1_1	C77	F1611	F1611	phylogenetically related, high RdRp aa similarity ~89%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15	(+)ssRNA	non-segmented	Lenarviricota	19	15	Culex		other_clades
F1611_NODE_152_length_2053_cov_3.285786_1	F1611_NODE_152_length_2053_cov_3.285786	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	2052	586	REVERSE	1466	UAW09569.1	680	55.5	485	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Magoulivirus	Aspergillus flavus magoulivirus 1	55.5	Colockles_virus	Botourmiaviridae	Colockles_virus_F1611C152F1611	Colockles_virus	F1611_NODE_152_length_2053_cov_3.285786_F1611_round2_F1611_detect_F1611_round2_F1611_round3_frame2_1	C152	F1611	F1611	phylogenetically related, not high enough RdRp aa similarity ~59%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15	(+)ssRNA	non-segmented	Lenarviricota	19	15	Culex		other_clades
F1353_NODE_7_length_2498_cov_283.717560_1	F1353_NODE_7_length_2498_cov_283.717560	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	27	2030	FORWARD	2003	QKI79926.1	661	65.3	634	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 96	65.3	Cogillar_virus	Botourmiaviridae	Cogillar_virus_F1353C7F1353	Cogillar_virus	F1353_NODE_7_length_2498_cov_283.717560_F1353_round2_F1353_detect_F1353_round2_F1353_round3_frame3_1	C7	F1353	F1353	phylogenetically related, not high enough RdRp aa similarity ~63%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Culex sinensis	misannotated	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Lenarviricota	19	28	Aedes		other_clades
F1614_NODE_75_length_3253_cov_5695.314572_2	F1614_NODE_75_length_3253_cov_5695.314572	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3	3221	FORWARD	3218	AGW51766.2	1014	47.4	1094	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Ochlerotatus-associated narna-like virus 1	47.4	Cumentaid_virus	Narnaviridae	Cumentaid_virus_F1614C75F1467	Cumentaid_virus	F1614_NODE_75_length_3253_cov_5695.314572_F1614_MapVerif_F1467_detect_F1467_round2_F1467_round3_frame3_1	C75	F1614	F1467	phylogenetically related, not high enough RdRp similarity: ~47% aa (50% in a shorter alignment with a shorter and more distant ref sequence)	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19	(+)ssRNA	non-segmented	Lenarviricota	17	19	Mansonia		other_clades
