sample_id	ref_id	total_reads	mapped_reads	average_cov	norm_average_cov	percentage_covered	norm_average_cov_LFC	contig_kmer_cov	contig_len	selected	RPKM	RPKM_LFC	RdRp_scan_map_consensus_id	contig_id	orf_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	vir_group	vir_sp_seq_ID_v2	phylo_virus_species	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus	followup_phylo_group	vir_sp_seq_ID_v3
F1085	F1339_NODE_31_length_6863_cov_3148.768801	12489847	6197	66.2401282238088	5.30351798735475	98.0912137549177	-7.36136357236893	3148.768801	6863	yes	72.2953523878643	-7.37261704842909	F1339_NODE_31_length_6863_cov_3148.768801_F1085_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1085	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1085
F1156	F1339_NODE_31_length_6863_cov_3148.768801	21083968	594	6.38991694594201	0.303069941385891	85.8079557045024	-11.4905905566	3148.768801	6863	yes	4.10506556262187	-11.5110427840323	F1339_NODE_31_length_6863_cov_3148.768801_F1156_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1156	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1156
F1336	F1339_NODE_31_length_6863_cov_3148.768801	8880639	131850	1415.63995337316	159.407442794731	98.7760454611686	-2.45173805312106	3148.768801	6863	yes	2163.32574642918	-2.46941284515752	F1339_NODE_31_length_6863_cov_3148.768801_F1336_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1336	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1336
F1339	F1339_NODE_31_length_6863_cov_3148.768801	14360945	1180827	12523.8630336588	872.077919221803	99.9708582252659	0	3148.768801	6863	yes	11980.8948623928	0	F1339_NODE_31_length_6863_cov_3148.768801_F1339_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1339	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1339
F1503	F1339_NODE_31_length_6863_cov_3148.768801	12897444	81169	861.935450968964	66.8299432793788	98.9946087716742	-3.70589048916688	3148.768801	6863	yes	917.006778006032	-3.70765946048282	F1339_NODE_31_length_6863_cov_3148.768801_F1503_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1503	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1503
F1504	F1339_NODE_31_length_6863_cov_3148.768801	12556522	901619	9581.76584584001	763.090754417506	99.7668658021273	-0.192602396958348	3148.768801	6863	yes	10462.6017435272	-0.195494015844474	F1339_NODE_31_length_6863_cov_3148.768801_F1504_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1504	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1504
F1506	F1339_NODE_31_length_6863_cov_3148.768801	9793088	467558	5010.82194375637	511.669245059002	99.2568847442809	-0.769245524230711	3148.768801	6863	yes	6956.67694965959	-0.784265435876369	F1339_NODE_31_length_6863_cov_3148.768801_F1506_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1506	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1506
F1539	F1539_NODE_12_length_6813_cov_660.129032	11284417	241197	2600.93409658007	230.489009452599	99.9853221781888	0	660.129032	6813	yes	3137.28798519802	0	F1539_NODE_12_length_6813_cov_660.129032_F1539_RdRpScan_Round1	F1539_NODE_12_length_6813_cov_660.129032	F1539_NODE_12_length_6813_cov_660.129032_1	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	2	6685	FORWARD	6683	QOI91450.1	2217	71	2215	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	71	Ackless_virus	Phenuiviridae	Ackless_virus_F1539C12F1539	Ackless_virus	F1539_NODE_12_length_6813_cov_660.129032_F1539_MapVerif_F1539_detect_F1539_round2_frame2	C12	F1539	F1539	proposed new species name based on the host genus and genetic divergence (70% aa similarity of L segment with RefSeq reference of PCLV, 65% aa similarity with  the novel putative Mansonia phasivirus)	Putative novel species	Coquillettidia_phasivirus	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(-)ssRNA	segmented	Bunyavirales	25	2	Coquillettidia	Phasi_clade	Ackless_virus_F1539C12F1539
F1623	F1632_NODE_15_length_6869_cov_140.488553	299071	4513	61.0614354345611	204.170365680929	99.4759062454506	2.19610142899794	140.488553	6869	yes	2196.83538011743	1.88103658547956	F1632_NODE_15_length_6869_cov_140.488553_F1623_RdRpScan_Round1	F1632_NODE_15_length_6869_cov_140.488553	F1632_NODE_15_length_6869_cov_140.488553_1	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	61	6756	FORWARD	6695	QOI91450.1	2217	65.8	2234	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	65.8	Adableaps_virus	Phenuiviridae	Adableaps_virus_F1632C15F1632	Adableaps_virus	F1632_NODE_15_length_6869_cov_140.488553_F1632_MapVerif_F1632_detect_F1632_round2_frame1	C15	F1632	F1623	proposed new species name based on the host genus and genetic divergence (65% aa similarity of L segment with RefSeq reference of PCLV, 65% similarity with the novel putative Coquillettidia phasivirus)	Putative novel species	Mansonia_phasivirus	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20	(-)ssRNA	segmented	Bunyavirales	25	20	Mansonia	Phasi_clade	Adableaps_virus_F1632C15F1623
F1632	F1632_NODE_15_length_6869_cov_140.488553	11858827	48583	528.374727034503	44.5553954901697	100	0	140.488553	6869	yes	596.415716262913	0	F1632_NODE_15_length_6869_cov_140.488553_F1632_RdRpScan_Round1	F1632_NODE_15_length_6869_cov_140.488553	F1632_NODE_15_length_6869_cov_140.488553_1	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	61	6756	FORWARD	6695	QOI91450.1	2217	65.8	2234	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	65.8	Adableaps_virus	Phenuiviridae	Adableaps_virus_F1632C15F1632	Adableaps_virus	F1632_NODE_15_length_6869_cov_140.488553_F1632_MapVerif_F1632_detect_F1632_round2_frame1	C15	F1632	F1632	proposed new species name based on the host genus and genetic divergence (65% aa similarity of L segment with RefSeq reference of PCLV, 65% similarity with the novel putative Coquillettidia phasivirus)	Putative novel species	Mansonia_phasivirus	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20	(-)ssRNA	segmented	Bunyavirales	25	20	Mansonia	Phasi_clade	Adableaps_virus_F1632C15F1632
