#                                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta     -          F1503_NODE_6705_length_999_cov_1.281780_1 -            5.8e-05   13.8   0.4   0.00047   10.8   0.0   1.5   1   1   0   1   1   1   1 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta -          F1503_NODE_6705_length_999_cov_1.281780_1 -            0.00063   10.3   0.0   0.00093    9.7   0.0   1.1   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta           -          F1503_NODE_8511_length_823_cov_1.750000_1 -              0.013    5.9  32.9     0.016    5.6  32.9   1.0   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Nodamuvirales.0.4.fasta            -          F1503_NODE_8511_length_823_cov_1.750000_1 -              0.013    6.3  30.1     0.017    6.0  30.1   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta           -          F1503_NODE_8511_length_823_cov_1.750000_1 -              0.026    5.4  28.7     0.032    5.1  28.7   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta            -          F1503_NODE_8511_length_823_cov_1.750000_1 -               0.03    5.1  23.9      0.04    4.8  23.9   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta             -          F1503_NODE_8511_length_823_cov_1.750000_1 -              0.034    4.8  21.6     0.041    4.5  21.6   1.2   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Levivirales.0.4.fasta              -          F1503_NODE_8511_length_823_cov_1.750000_1 -               0.13    3.1  25.1      0.18    2.6  25.1   1.2   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta           -          F1503_NODE_8511_length_823_cov_1.750000_1 -               0.14    3.1  28.4      0.18    2.7  28.4   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta     -          F1503_NODE_8511_length_823_cov_1.750000_1 -               0.15    2.6  32.0      0.21    2.2  32.0   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Tymovirales.0.4.fasta              -          F1503_NODE_8511_length_823_cov_1.750000_1 -               0.17    2.3  39.0      0.21    2.1  39.0   1.0   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta            -          F1503_NODE_8511_length_823_cov_1.750000_1 -                  4   -1.8  34.4       5.6   -2.3  34.4   1.2   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta     -          F1503_NODE_8511_length_823_cov_1.750000_1 -                7.7   -2.9  30.1       5.2   -2.3  28.4   1.4   1   1   0   1   1   1   0 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.371.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.371.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/1b/734c2994734cecbd3b5e535d80a978
# Date:            Thu Jul 21 16:23:28 2022
# [ok]
#                                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta        -          F1282_NODE_15858_length_667_cov_1.405229_1 -                3.1   -1.6  39.5       4.3   -2.0  39.5   1.2   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta       -          F1282_NODE_15858_length_667_cov_1.405229_1 -                  4   -2.4  41.5       5.9   -2.9  41.5   1.2   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta -          F1282_NODE_15858_length_667_cov_1.405229_1 -                  5   -2.3  39.3       7.2   -2.9  39.3   1.2   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta        -          F1282_NODE_15858_length_667_cov_1.405229_1 -                7.9   -3.1  35.2        11   -3.5  35.2   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta -          F1282_NODE_17569_length_621_cov_3.627208_1 -              0.064    3.8  13.1      0.07    3.6  13.1   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta -          F1284_NODE_2_length_6515_cov_590.620743_1 -           2.6e-141  464.7   0.0  4.3e-141  464.0   0.0   1.2   1   0   0   1   1   1   1 -
Negarnaviricota.ALL_RdRp_Palmdb_0.4.fasta       -          F1284_NODE_2_length_6515_cov_590.620743_1 -            5.7e-89  291.5   0.0   8.4e-89  291.0   0.0   1.1   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta       -          F1284_NODE_83_length_2582_cov_8.079937_5 -              0.079    3.3  47.8      0.11    2.8  47.8   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta -          F1284_NODE_83_length_2582_cov_8.079937_5 -               0.21    2.2  44.2      0.37    1.4  44.2   1.4   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta        -          F1284_NODE_83_length_2582_cov_8.079937_5 -                1.1   -0.2  28.3       1.6   -0.8  28.3   1.2   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -          F1284_NODE_83_length_2582_cov_8.079937_5 -                  3   -1.7  16.9       5.4   -2.5  16.9   1.4   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -          F1284_NODE_138_length_2298_cov_11.707089_4 -              0.039    4.5  14.6     0.059    4.0  14.6   1.3   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -          F1284_NODE_138_length_2298_cov_11.707089_4 -               0.29    1.7  12.5      0.47    1.0  12.5   1.3   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -          F1284_NODE_138_length_2298_cov_11.707089_4 -               0.34    1.6  19.0       0.5    1.1  19.0   1.2   1   0   0   1   1   1   0 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.209.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.209.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/20/9ccbeab06c107d24c2f211123e292e
# Date:            Thu Jul 21 16:23:26 2022
# [ok]
#                                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -          F1565_NODE_2488_length_1438_cov_7.513377_1 -                5.7   -2.4  26.6       0.2    2.4  20.7   1.5   2   0   0   2   2   2   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -          F1565_NODE_2653_length_1399_cov_7.350446_3 -             0.0038    8.1   7.4    0.0047    7.8   7.4   1.1   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta -          F1565_NODE_2983_length_1332_cov_2.678152_2 -             0.0039    8.2  17.9    0.0048    7.8  17.9   1.0   1   0   0   1   1   1   1 -
Birnaviridae.ALL_RdRp_Palmdb_0.4.fasta -          F1565_NODE_3112_length_1307_cov_4.015176_3 -              0.043    4.3   8.6     0.068    3.7   8.6   1.3   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta -          F1565_NODE_3254_length_1284_cov_7.577705_3 -              0.048    4.0  39.4      0.06    3.7  39.4   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta   -          F1565_NODE_3254_length_1284_cov_7.577705_3 -              0.069    3.8  30.8      0.11    3.1  30.8   1.2   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta  -          F1565_NODE_3254_length_1284_cov_7.577705_3 -               0.12    3.1  44.1      0.15    2.8  44.1   1.0   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta  -          F1565_NODE_3254_length_1284_cov_7.577705_3 -               0.14    2.7  28.4      0.18    2.4  28.4   1.1   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_955.Palmdb.0.4.fasta -          F1565_NODE_3499_length_1244_cov_2.280067_1 -            0.00075   10.2   0.0    0.0011    9.6   0.0   1.1   1   0   0   1   1   1   1 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.451.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.451.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/62/3f99b7f78863724d5e5f51a250a373
# Date:            Thu Jul 21 16:23:30 2022
# [ok]
#                                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta -          F1284_NODE_652_length_1536_cov_5.937880_2 -            7.4e-05   13.7   0.0     8e-05   13.6   0.0   1.2   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta -          F1284_NODE_972_length_1327_cov_15.664308_2 -             0.0069    7.1   4.3     0.009    6.7   4.3   1.1   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta             -          F1284_NODE_972_length_1327_cov_15.664308_2 -              0.058    4.0   9.8     0.076    3.6   9.8   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta           -          F1284_NODE_972_length_1327_cov_15.664308_2 -               0.13    3.1  10.2      0.16    2.7  10.2   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta            -          F1284_NODE_972_length_1327_cov_15.664308_2 -               0.16    2.8  16.3      0.22    2.3  16.3   1.1   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta     -          F1284_NODE_972_length_1327_cov_15.664308_2 -               0.26    2.1  17.0      0.46    1.3  17.0   1.3   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta     -          F1284_NODE_972_length_1327_cov_15.664308_2 -               0.33    1.7  15.4      0.47    1.2  15.4   1.1   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_373.Palmdb.0.4.fasta     -          F1284_NODE_972_length_1327_cov_15.664308_2 -                3.1   -1.4  15.4       4.3   -1.9  15.4   1.1   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -          F1284_NODE_1171_length_1239_cov_4.306588_2 -               0.69    0.4  17.8      0.96   -0.0  17.8   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -          F1284_NODE_1171_length_1239_cov_4.306588_2 -               0.78    0.3  12.2         1   -0.1  12.2   1.1   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -          F1284_NODE_1933_length_1013_cov_12.413361_3 -               0.13    2.9  12.4      0.17    2.6  12.4   1.0   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_297.Palmdb.0.4.fasta -          F1284_NODE_1933_length_1013_cov_12.413361_3 -               0.85    0.2  19.3       1.1   -0.3  19.3   1.3   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -          F1284_NODE_1933_length_1013_cov_12.413361_3 -                1.1    0.0  17.9       1.3   -0.3  17.9   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Tymovirales.0.4.fasta -          F1284_NODE_2077_length_981_cov_3.262419_2 -                4.4   -2.3  19.4     0.082    3.4   1.9   2.2   1   1   1   2   2   2   0 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.210.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.210.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/4c/e4484dae28ab53a741afd2373c258f
# Date:            Thu Jul 21 16:23:25 2022
# [ok]
#                                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                               accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                     -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta -          F1151_NODE_126_length_2598_cov_2.247739_1 -              0.057    4.0   7.5      0.06    4.0   7.5   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta -          F1151_NODE_509_length_1813_cov_3.654152_1 -                7.7   -3.2  23.3        11   -3.7  23.3   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta -          F1151_NODE_828_length_1562_cov_6.327140_1 -                 10   -3.1  16.2       3.1   -1.5  12.9   1.5   1   1   1   2   2   2   0 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta -          F1151_NODE_1260_length_1340_cov_2.986770_2 -            1.4e-06   19.0  18.5   1.6e-06   18.9  18.5   1.0   1   0   0   1   1   1   1 -
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta -          F1151_NODE_4217_length_759_cov_2.161932_1 -            2.8e-05   15.2   2.8   3.5e-05   14.9   2.8   1.0   1   0   0   1   1   1   1 -
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta -          F1151_NODE_5907_length_614_cov_1.837209_1 -                1.5   -0.4  17.1       1.8   -0.7  17.1   1.0   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta -          F1152_NODE_95_length_3021_cov_8.011126_2 -                0.5    0.6  14.1      0.68    0.2  14.1   1.1   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -          F1152_NODE_159_length_2709_cov_6.706858_3 -            0.00027   12.0   9.7   0.00046   11.2   9.7   1.3   1   0   0   1   1   1   1 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -          F1152_NODE_159_length_2709_cov_6.706858_3 -              0.018    5.6  13.2     0.028    5.0  13.2   1.3   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -          F1152_NODE_159_length_2709_cov_6.706858_3 -               0.31    1.6  12.0      0.47    1.0  12.0   1.3   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -          F1152_NODE_159_length_2709_cov_6.706858_3 -               0.54    1.0  19.1       0.8    0.4  19.1   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta -          F1152_NODE_346_length_2237_cov_3.965628_1 -            0.00012   12.6  58.7   0.00015   12.3  58.7   1.1   1   0   0   1   1   1   1 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.113.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.113.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/1d/45c16642decc21c6b8d06350b47664
# Date:            Thu Jul 21 16:23:22 2022
# [ok]
#                                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -          F1646_NODE_1918_length_1341_cov_19.607309_1 -                4.3   -2.2  17.4       6.6   -2.8  17.4   1.2   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -          F1646_NODE_1918_length_1341_cov_19.607309_1 -                5.5   -2.5  16.3       8.2   -3.1  16.3   1.3   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_295.Palmdb.0.4.fasta -          F1646_NODE_2077_length_1301_cov_8.926164_2 -              0.003    8.5   6.7    0.0037    8.1   6.7   1.1   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta       -          F1646_NODE_2314_length_1246_cov_6.599496_1 -               0.98    0.1  21.8       1.3   -0.3  21.8   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta         -          F1646_NODE_2314_length_1246_cov_6.599496_1 -                1.7   -0.8  20.2       2.3   -1.3  20.2   1.1   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta -          F1646_NODE_2314_length_1246_cov_6.599496_1 -                1.7   -0.7  23.8       2.3   -1.1  23.8   1.1   1   0   0   1   1   1   0 -
Negarnaviricota.ALL_RdRp_Palmdb_0.4.fasta -          F1646_NODE_2327_length_1243_cov_14.941077_1 -              8e-05   13.3   0.1   0.00012   12.7   0.1   1.1   1   0   0   1   1   1   1 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -          F1646_NODE_2532_length_1203_cov_7.481707_2 -               0.11    3.3  29.1     0.017    5.9  13.9   2.1   2   0   0   2   2   2   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_552.Palmdb.0.4.fasta -          F1646_NODE_2532_length_1203_cov_7.481707_2 -               0.11    3.2  29.3     0.017    5.8  13.3   2.1   2   0   0   2   2   2   0 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -          F1646_NODE_2532_length_1203_cov_7.481707_2 -               0.24    2.0  25.0     0.054    4.1  12.3   2.0   2   0   0   2   2   2   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -          F1646_NODE_2532_length_1203_cov_7.481707_2 -               0.29    1.7  30.7     0.014    6.0  12.3   2.1   2   0   0   2   2   2   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta -          F1646_NODE_2532_length_1203_cov_7.481707_2 -                7.8   -3.2  30.9      0.26    1.7   6.1   2.1   2   0   0   2   2   2   0 -
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta -          F1646_NODE_2533_length_1203_cov_6.945122_1 -            0.00043   11.2  11.3   0.00056   10.8  11.3   1.0   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta -          F1646_NODE_2951_length_1123_cov_8.722846_1 -            0.00033   11.5   0.0   0.00045   11.1   0.0   1.1   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta -          F1646_NODE_3392_length_1053_cov_4.146293_2 -            3.4e-05   15.2   4.1   3.9e-05   14.9   4.1   1.0   1   0   0   1   1   1   1 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -          F1646_NODE_3562_length_1030_cov_8.464615_1 -             0.0016    9.4  14.4    0.0019    9.2  14.4   1.2   1   0   0   1   1   1   1 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -          F1646_NODE_3562_length_1030_cov_8.464615_1 -             0.0057    7.5  19.0    0.0071    7.2  19.0   1.1   1   0   0   1   1   1   1 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -          F1646_NODE_3562_length_1030_cov_8.464615_1 -               0.23    2.0  21.2      0.32    1.5  21.2   1.2   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -          F1646_NODE_3562_length_1030_cov_8.464615_1 -               0.69    0.5  21.5       0.9    0.1  21.5   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta -          F1646_NODE_4210_length_957_cov_2.655211_2 -                0.2    2.2  19.2      0.24    2.0  19.2   1.1   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta           -          F1646_NODE_4295_length_946_cov_11.244669_1 -             0.0025    8.4  12.0     0.003    8.2  12.0   1.1   1   0   0   1   1   1   1 -
