target	accession1	rdrp_scan_orf_id	accession2	evalue_full_seq	score_full_seq	bias_full_seq	evalue_best_dom	score_best_dom	bias_best_dom	dom_num_estim_exp	dom_num_estim_reg	dom_num_estim_clu	dom_num_estim_ov	dom_num_estim_env	dom_num_estim_dom	dom_num_estim_rep	dom_num_estim_inc	description_of_target
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	-	F1005_NODE_7196_length_885_cov_4.171084_1	-	0,023	5,4	32,3	0,029	5,1	32,3	1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	-	F1005_NODE_7790_length_843_cov_2.091371_1	-	0,00053	10,4	0,3	0,00074	9,9	0,3	1,1	1	0	0	1	1	1	1	-
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1005_NODE_8705_length_786_cov_1.184679_1	-	2,40E-07	21,6	0	2,90E-07	21,4	0	1,1	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta	-	F1005_NODE_9279_length_753_cov_1.853868_2	-	0,12	3,1	25,2	0,16	2,7	25,2	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta	-	F1005_NODE_10613_length_691_cov_1.006289_1	-	0,0019	9,1	13,1	0,0022	8,9	13,1	1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Tymovirales.0.4.fasta	-	F1130_NODE_583_length_2446_cov_11.897532_1	-	1	-0,2	29,7	1,4	-0,6	29,7	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1130_NODE_773_length_2251_cov_3.265027_4	-	0,0032	7,9	45	0,0052	7,2	45	1,3	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	-	F1130_NODE_1008_length_2044_cov_4.841629_2	-	0,87	0	16,5	1,2	-0,4	16,5	1,1	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta	-	F1126_NODE_94_length_3468_cov_6.423674_3	-	0,028	5,2	7,5	0,0011	9,8	1,5	1,6	2	0	0	2	2	2	0	-
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta	-	F1514_NODE_1695_length_1228_cov_2.817562_1	-	0,0094	6,6	7,3	0,013	6,1	7,3	1,3	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1514_NODE_2687_length_1004_cov_2.194942_1	-	0,00016	12,7	4,2	0,00018	12,5	4,2	1,1	1	0	0	1	1	1	1	-
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1515_NODE_149_length_2769_cov_7.128224_1	-	0,0003	11,7	0	0,0005	10,9	0	1,3	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	-	F1515_NODE_186_length_2582_cov_4.558765_2	-	5,60E-46	149,6	0	7,00E-46	149,3	0	1	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1515_NODE_374_length_2170_cov_3.434988_3	-	7,5	-2,7	24,1	11	-3,3	24,1	1,1	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_295.Palmdb.0.4.fasta	-	F1515_NODE_3561_length_976_cov_1.606949_1	-	0,002	9	11,1	0,0024	8,7	11,1	1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1388_NODE_1002_length_1631_cov_2.407995_1	-	3,3	-1,8	22,4	3	-1,6	20,7	1,5	1	1	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_297.Palmdb.0.4.fasta	-	F1389_NODE_5631_length_710_cov_2.876336_1	-	0,43	1,1	9,8	0,53	0,8	9,8	1,2	1	0	0	1	1	1	0	-
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1390_NODE_439_length_2472_cov_1.776996_1	-	2,80E-06	18,1	0	4,30E-06	17,5	0	1,3	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	-	F1490_NODE_6_length_7134_cov_7.580732_3	-	1,30E-98	323,6	4,7	1,70E-98	323,2	4,7	1	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1490_NODE_156_length_3187_cov_2.673691_3	-	0,066	4,1	17,8	0,098	3,5	17,8	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta	-	F1490_NODE_190_length_3011_cov_5.005751_2	-	0,0067	7,3	6,3	0,009	6,9	6,3	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	-	F1490_NODE_196_length_2986_cov_3.044353_2	-	0,064	3,7	18,6	0,084	3,3	18,6	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	-	F1490_NODE_293_length_2686_cov_7.567465_3	-	0,025	5,1	22,7	0,03	4,8	22,7	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1490_NODE_375_length_2509_cov_2.083130_1	-	1,4	-0,9	27,9	2	-1,4	27,9	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta	-	F1490_NODE_418_length_2413_cov_3.901612_2	-	0,00067	10,6	7,9	0,001	10	7,9	1,2	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta	-	F1490_NODE_561_length_2171_cov_3.276938_1	-	0,1	3,4	14,8	0,14	3	14,8	1,1	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1490_NODE_613_length_2117_cov_4.481571_1	-	1,6	-0,8	22,9	0,016	5,8	12,1	2,4	2	0	0	2	2	2	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1490_NODE_681_length_2033_cov_1.926694_2	-	0,042	4,4	14,1	0,062	3,9	14,1	1,3	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta	-	F1191_NODE_1461_length_1449_cov_2.560976_1	-	9,6	-3,3	14,3	0,23	2	3,2	2,1	2	0	0	2	2	2	0	-
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta	-	F1191_NODE_1494_length_1438_cov_41.297903_4	-	1,3	-0,2	21,2	1,5	-0,4	21,2	1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1191_NODE_2233_length_1207_cov_1.552951_1	-	3	-1,4	26,5	3,9	-1,8	26,5	1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	-	F1191_NODE_2828_length_1068_cov_1.473840_1	-	0,17	2,5	32,2	0,23	2,1	32,2	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	-	F1191_NODE_3178_length_1002_cov_1.391763_1	-	0,00032	11,1	0	0,00044	10,6	0	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta	-	F1191_NODE_3334_length_976_cov_6.606949_2	-	0,0013	9,7	6,1	0,0016	9,4	6,1	1	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1029_NODE_6432_length_632_cov_1.844021_1	-	0,0025	8,5	23,6	0,0028	8,3	23,6	1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	-	F1031_NODE_523_length_1733_cov_3.171633_1	-	9,70E-05	13,1	11	0,00014	12,6	11	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	-	F1186_NODE_6826_length_994_cov_16.323749_2	-	0,26	1,8	13,8	0,33	1,4	13,8	1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1186_NODE_8136_length_890_cov_2.479042_1	-	0,19	2	8,9	0,22	1,8	8,9	1,1	1	0	0	1	1	1	0	-
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1186_NODE_8623_length_860_cov_2.428571_1	-	8,10E-05	13,4	0	9,20E-05	13,3	0	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta	-	F1366_NODE_2712_length_1472_cov_2.498236_2	-	0,79	0,3	15	1,4	-0,5	15	1,4	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta	-	F1366_NODE_2879_length_1430_cov_1.232000_1	-	0,00019	12,1	2,3	0,00026	11,7	2,3	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta	-	F1366_NODE_2903_length_1426_cov_1.992706_1	-	0,0068	7,1	13,3	0,0081	6,8	2,6	2,1	2	0	0	2	2	2	2	-
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	-	F1366_NODE_3111_length_1376_cov_2.868282_2	-	0,25	1,9	20,3	0,1	3,2	14,4	2	2	0	0	2	2	2	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta	-	F1366_NODE_3389_length_1318_cov_6.361837_2	-	0,21	2	14,2	0,3	1,5	14,2	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	-	F1366_NODE_3430_length_1309_cov_1.515949_1	-	0,56	0,7	16,1	0,93	-0,1	16,1	1,2	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta	-	F1366_NODE_4442_length_1138_cov_4.764543_1	-	0,57	0,7	14,9	0,75	0,4	14,9	1,1	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1366_NODE_5754_length_983_cov_4.917026_1	-	4,90E-06	17,7	7,1	4,90E-06	17,7	7,1	1,2	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Tymovirales.0.4.fasta	-	F1366_NODE_6149_length_947_cov_1.728700_1	-	0,095	3,2	12,1	0,12	2,8	12,1	1	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1366_NODE_8954_length_749_cov_3.306916_1	-	0,0083	6,8	8,9	0,0097	6,6	8,9	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1568_NODE_789_length_2358_cov_3.886235_2	-	4,4	-2,5	19	0,085	3,2	11,1	1,8	2	0	0	2	2	2	0	-
ALL_NCBI_Palmdb_RdRp.Levivirales.0.4.fasta	-	F1568_NODE_963_length_2193_cov_15.543031_1	-	2,9	-1,4	20,2	0,099	3,5	2,9	2	2	0	0	2	2	2	0	-
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	-	F1341_NODE_12649_length_637_cov_1.477663_1	-	0,077	3,5	17	0,097	3,2	17	1,2	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_1112.Palmdb.0.4.fasta	-	F1341_NODE_12676_length_636_cov_1.614458_1	-	0,00064	10,4	0,1	0,0008	10	0,1	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	-	F1341_NODE_13295_length_614_cov_1.084079_1	-	0,00039	11	4,2	0,00043	10,9	4,2	1	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_1039.Palmdb.0.4.fasta	-	F1345_NODE_385_length_1233_cov_7.681664_1	-	0,00049	10,8	0,1	0,00076	10,2	0,1	1,2	1	0	0	1	1	1	1	-
Birnaviridae.ALL_RdRp_Palmdb_0.4.fasta	-	F1345_NODE_434_length_1176_cov_4.862623_2	-	0,00036	11,2	0	0,00049	10,7	0	1,1	1	0	0	1	1	1	1	-
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1566_NODE_8977_length_606_cov_0.950998_1	-	0,00039	11	0	0,00054	10,5	0	1,1	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1567_NODE_26_length_4313_cov_11.980038_5	-	0,0031	8,5	12,1	0,0063	7,4	12,1	1,4	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Milneviricetes.0.4.fasta	-	F1567_NODE_72_length_3566_cov_2.872971_1	-	0,00071	10,2	0	0,0012	9,4	0	1,3	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1567_NODE_83_length_3393_cov_14.117735_5	-	4	-2	21,2	10	-3,4	21,2	1,6	1	1	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1567_NODE_106_length_3193_cov_8.495539_4	-	1,4	-0,3	16,1	2	-0,9	16,1	1,3	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	-	F1567_NODE_230_length_2657_cov_3.408532_3	-	0,00012	12,8	1,7	0,00019	12,1	1,7	1,2	1	0	0	1	1	1	1	-
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1038_NODE_8698_length_610_cov_1.061261_1	-	0,00081	9,9	0	0,001	9,6	0	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Tymovirales.0.4.fasta	-	F1039_NODE_148_length_3381_cov_19.165063_4	-	9,4	-3,4	19,1	14	-4	19,1	1,1	1	0	0	1	1	1	0	-
