#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                      -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -            586 F1313_NODE_41_length_2790_cov_5.732358_3 -            926      0.97   -0.1  11.3   1   1     0.025       1.7   -0.9  11.3    19   164   438   585   424   589 0.43 -
ALL_NCBI_Palmdb_RdRp.Tymovirales.0.4.fasta -           1021 F1313_NODE_254_length_1282_cov_5.066830_1 -            403       1.8   -1.0  14.6   1   1     0.037       2.5   -1.5  14.6   143   296   109   270    27   311 0.61 -
ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta -           1049 F1322_NODE_126_length_1586_cov_15.097322_1 -            528     2e-51  167.7   1.3   1   1   7.1e-53   2.4e-51  167.5   1.3   353   757    14   438     2   498 0.81 -
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta       -            665 F1322_NODE_126_length_1586_cov_15.097322_1 -            528   4.7e-33  106.9   0.3   1   1   1.7e-34   5.7e-33  106.6   0.3   250   580    19   391     5   517 0.69 -
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta -            591 F1322_NODE_732_length_735_cov_15.452941_1 -            244   0.00015   12.4   0.1   1   1   3.2e-06   0.00022   11.9   0.1   325   359   117   151   115   154 0.96 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.217.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.217.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/46/e58d6f24db963dccad55d521eba219
# Date:            Thu Jul 21 16:23:25 2022
# [ok]
#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                      -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -            586 F1498_NODE_567_length_1767_cov_5.013435_1 -            554     0.049    4.2  11.8   1   1    0.0027     0.091    3.3  11.8    34   135    91   190    64   208 0.30 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -            738 F1498_NODE_567_length_1767_cov_5.013435_1 -            554      0.28    1.8  11.1   1   1     0.015      0.51    0.9  11.1    53   141    93   181    64   200 0.36 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta       -           1394 F1498_NODE_595_length_1742_cov_7.585062_2 -            580   0.00013   12.5   4.8   1   1   1.4e-05   0.00016   12.2   4.8   258   431   244   394   220   474 0.38 -
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta        -            978 F1498_NODE_595_length_1742_cov_7.585062_2 -            580   0.00017   12.6   1.3   1   1   1.8e-05    0.0002   12.4   1.3   723   935   218   389    76   424 0.38 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -            628 F1498_NODE_595_length_1742_cov_7.585062_2 -            580   0.00038   11.5  20.2   1   2    0.0093      0.11    3.4   0.4   172   237    97   190    15   191 0.56 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -            628 F1498_NODE_595_length_1742_cov_7.585062_2 -            580   0.00038   11.5  20.2   2   2   2.4e-05   0.00027   11.9  13.9    27   149   275   398   222   526 0.59 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta         -            998 F1498_NODE_595_length_1742_cov_7.585062_2 -            580      0.13    2.9   7.3   1   1     0.015      0.17    2.5   7.3   835   899   326   390   221   433 0.45 -
ALL_FINAL_RdRp_cores_0.3.clstr_990.Palmdb.0.4.fasta -            558 F1498_NODE_595_length_1742_cov_7.585062_2 -            580      0.17    2.9  20.2   1   1     0.026       0.3    2.1  20.2   420   534   280   394   228   408 0.58 -
ALL_NCBI_Palmdb_RdRp.Levivirales.0.4.fasta          -            889 F1498_NODE_595_length_1742_cov_7.585062_2 -            580      0.72    0.6  11.0   1   1     0.087      0.98    0.2  11.0    67   219   245   397   221   428 0.45 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -            738 F1498_NODE_1069_length_1380_cov_7.009811_2 -            253      0.76    0.3  24.8   1   2   0.00024    0.0082    6.8   7.1     8    52    62   106     8   157 0.41 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -            738 F1498_NODE_1069_length_1380_cov_7.009811_2 -            253      0.76    0.3  24.8   2   2      0.03         1   -0.1   9.7    13    60   194   241   172   253 0.38 -
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta -            591 F1498_NODE_1069_length_1380_cov_7.009811_2 -            253       3.2   -1.9  28.4   1   2   0.00088      0.03    4.8   9.2    10    73    63   129    20   152 0.45 -
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta -            591 F1498_NODE_1069_length_1380_cov_7.009811_2 -            253       3.2   -1.9  28.4   2   2     0.032       1.1   -0.3  11.2    28    80   196   249   172   253 0.40 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta -           1394 F1498_NODE_1118_length_1354_cov_2.438799_2 -            451   1.6e-06   18.8  15.7   1   1   1.3e-07   1.8e-06   18.6  15.7   232   413    35   194    22   388 0.66 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta   -            921 F1498_NODE_1118_length_1354_cov_2.438799_2 -            451   0.00027   12.2  18.1   1   1   2.8e-05   0.00038   11.7  18.1    40   324    43   390    24   393 0.38 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta  -           1216 F1498_NODE_1118_length_1354_cov_2.438799_2 -            451     0.017    5.8  19.8   1   1    0.0022      0.03    5.0  19.8    53   203    35   185    25   205 0.76 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta   -            998 F1498_NODE_1118_length_1354_cov_2.438799_2 -            451      0.14    2.8  18.7   1   1     0.017      0.23    2.0  18.7   892   984    86   178    25   194 0.42 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta  -            860 F1498_NODE_1118_length_1354_cov_2.438799_2 -            451       8.1   -2.8  31.3   1   2    0.0073       0.1    3.5  23.7   686   841    33   181     7   196 0.46 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta  -            860 F1498_NODE_1118_length_1354_cov_2.438799_2 -            451       8.1   -2.8  31.3   2   2      0.66         9   -3.0   0.8   684   765   265   346   254   383 0.54 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta -           1028 F1498_NODE_1137_length_1343_cov_2.920807_2 -            447      0.32    1.6  26.2   1   1    0.0078      0.53    0.9  26.2    55   284   168   397   142   418 0.40 -
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta -            591 F1498_NODE_3492_length_779_cov_6.214088_1 -            259     0.034    4.6   7.5   1   1   0.00063     0.043    4.3   7.5    15   141    32   159    21   173 0.67 -
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta         -           1097 F1502_NODE_85_length_2916_cov_12.682279_2 -            492    5e-112  368.3  13.3   1   1  7.5e-113  6.3e-112  368.0  13.3   172   753    33   483     5   491 0.89 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta  -           1028 F1502_NODE_85_length_2916_cov_12.682279_2 -            492   5.5e-75  245.5   9.1   1   1   7.8e-76   6.6e-75  245.2   9.1   240   717    60   464     5   489 0.82 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta               -            632 F1502_NODE_85_length_2916_cov_12.682279_2 -            492   7.7e-47  152.1   0.0   1   1   9.8e-48   8.3e-47  152.0   0.0   166   423   121   390    27   478 0.78 -
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta            -            671 F1502_NODE_85_length_2916_cov_12.682279_2 -            492   2.8e-19   61.3   0.1   1   1   3.9e-20   3.3e-19   61.0   0.1   209   442   188   420   139   473 0.83 -
ALL_NCBI_Palmdb_RdRp.Nodamuvirales.0.4.fasta         -            831 F1502_NODE_85_length_2916_cov_12.682279_2 -            492   2.5e-16   51.7   0.0   1   1   3.9e-17   3.3e-16   51.3   0.0   268   457   200   393   155   413 0.84 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta        -           1394 F1502_NODE_85_length_2916_cov_12.682279_2 -            492   6.2e-13   40.0   0.1   1   1   8.7e-14   7.4e-13   39.8   0.1   546   807   143   385     4   388 0.74 -
ALL_FINAL_RdRp_cores_0.3.clstr_990.Palmdb.0.4.fasta  -            558 F1502_NODE_85_length_2916_cov_12.682279_2 -            492   9.9e-10   30.1   0.0   1   2   1.7e-08   1.5e-07   23.0   0.0    58   192   147   276   141   290 0.88 -
ALL_FINAL_RdRp_cores_0.3.clstr_990.Palmdb.0.4.fasta  -            558 F1502_NODE_85_length_2916_cov_12.682279_2 -            492   9.9e-10   30.1   0.0   2   2     0.006     0.051    4.7   0.0   260   282   331   355   330   363 0.89 -
ALL_FINAL_RdRp_cores_0.3.clstr_1170.Palmdb.0.4.fasta -            480 F1502_NODE_85_length_2916_cov_12.682279_2 -            492   0.00017   12.3   0.0   1   1     3e-05   0.00025   11.7   0.0    72   175   147   242   129   244 0.80 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.368.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.368.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/d1/83225efe184eb1fceb2366cad745ea
# Date:            Thu Jul 21 16:23:29 2022
# [ok]
#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                               accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                     -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta -            796 F1107_NODE_384_length_1133_cov_22.862709_1 -            377   1.1e-51  168.3   5.8   1   1   5.7e-53   1.3e-51  168.1   5.8    53   294   143   372    99   376 0.93 -
Negarnaviricota.ALL_RdRp_Palmdb_0.4.fasta       -            765 F1107_NODE_384_length_1133_cov_22.862709_1 -            377   8.2e-32  102.5   6.1   1   1   4.4e-33     1e-31  102.2   6.1    20   265   113   372    76   376 0.78 -
ALL_NCBI_Palmdb_RdRp.Milneviricetes.0.4.fasta   -            712 F1107_NODE_384_length_1133_cov_22.862709_1 -            377   1.1e-07   22.8   0.1   1   1   9.5e-09   2.2e-07   21.9   0.1   239   300   313   373   280   374 0.76 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta -            856 F1108_NODE_39_length_1629_cov_18.329098_3 -            542         4   -2.2  26.0   1   2   3.9e-05    0.0027    8.3   9.3     2   142   145   285   144   305 0.95 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta -            856 F1108_NODE_39_length_1629_cov_18.329098_3 -            542         4   -2.2  26.0   2   2      0.58        39   -5.5   9.6    15   127   315   414   295   429 0.35 -
ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta        -           1049 F1108_NODE_482_length_628_cov_21.883072_1 -            209   3.4e-11   34.8   0.0   1   1   3.9e-12   3.8e-11   34.7   0.0   228   405    48   174    21   201 0.69 -
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta              -            665 F1108_NODE_482_length_628_cov_21.883072_1 -            209   1.9e-10   32.2   0.0   1   1   2.1e-11     2e-10   32.1   0.0   156   278     5   163     1   180 0.73 -
ALL_FINAL_RdRp_cores_0.3.clstr_295.Palmdb.0.4.fasta  -            709 F1108_NODE_482_length_628_cov_21.883072_1 -            209   1.9e-09   28.9   0.0   1   1   2.4e-10   2.3e-09   28.6   0.0   141   250    48   154    18   158 0.76 -
ALL_FINAL_RdRp_cores_0.3.clstr_1283.Palmdb.0.4.fasta -            460 F1108_NODE_482_length_628_cov_21.883072_1 -            209     3e-09   28.1   0.0   1   1   3.5e-10   3.4e-09   27.8   0.0    28   134    54   163    25   183 0.80 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta          -            998 F1108_NODE_482_length_628_cov_21.883072_1 -            209   6.2e-08   23.8   0.0   1   1   7.8e-09   7.6e-08   23.5   0.0   187   309    15   163     3   173 0.78 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta  -            628 F1108_NODE_482_length_628_cov_21.883072_1 -            209   2.2e-07   22.2   0.0   1   1   2.4e-08   2.4e-07   22.0   0.0   122   251    37   158    12   175 0.75 -
ALL_FINAL_RdRp_cores_0.3.clstr_1028.Palmdb.0.4.fasta -            475 F1108_NODE_482_length_628_cov_21.883072_1 -            209   0.00045   11.4   0.0   1   1     5e-05   0.00049   11.3   0.0    47   148    67   165    28   175 0.62 -
ALL_NCBI_Palmdb_RdRp.Mindivirales.0.4.fasta         -            806 F1109_NODE_18_length_4285_cov_8.141135_1 -            427      0.12    3.2  15.8   1   1    0.0087      0.15    2.9  15.8     7   235    77   293    66   373 0.46 -
ALL_FINAL_RdRp_cores_0.3.clstr_297.Palmdb.0.4.fasta -            794 F1109_NODE_18_length_4285_cov_8.141135_1 -            427       2.7   -1.5  24.4   1   1      0.22       3.7   -1.9  24.4   578   754    79   255    58   297 0.33 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -            628 F1109_NODE_18_length_4285_cov_8.141135_1 -            427         7   -2.6  25.7   1   1      0.59        10   -3.1  25.7    22   205    76   272    62   301 0.34 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -            604 F1109_NODE_18_length_4285_cov_8.141135_1 -            427       7.2   -2.8  26.4   1   1       0.6        10   -3.3  26.4   403   586    70   255    62   277 0.56 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -            586 F1109_NODE_53_length_2976_cov_3.826772_1 -            984       2.8   -1.6  13.8   1   1     0.064       4.3   -2.2  13.8    25   164   532   670   511   677 0.56 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.78.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.78.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/7f/930e4ffce9193d16551f6fdb0ba889
# Date:            Thu Jul 21 16:23:20 2022
# [ok]
#                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                 accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                       -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta -            978 F1557_NODE_3604_length_1052_cov_1.676028_2 -            230      0.39    1.5  28.4   1   1    0.0078      0.53    1.0  28.4    24   224     9   210     1   225 0.59 -
ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta -            716 F1557_NODE_3853_length_1016_cov_2.500520_2 -            335   0.00027   11.8   0.0   1   1   5.5e-06   0.00037   11.4   0.0   448   504   125   188    40   213 0.87 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta        -            860 F1557_NODE_4554_length_920_cov_2.301734_2 -            306     0.073    3.9  13.6   1   1    0.0014     0.095    3.6  13.6    18   185    10   158     2   210 0.41 -
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta -            591 F1557_NODE_4961_length_873_cov_1.766504_1 -            290    0.0069    6.9   8.4   1   1   0.00024    0.0083    6.6   8.4    34   106    65   137    32   184 0.46 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -            738 F1557_NODE_4961_length_873_cov_1.766504_1 -            290     0.029    5.0   9.2   1   1    0.0011     0.037    4.7   9.2    44   119    62   137    10   155 0.48 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta -           1008 F1557_NODE_5061_length_862_cov_2.252788_1 -            284       1.5   -0.5  15.4   1   1     0.027       1.9   -0.8  15.4   872   980     3   111     1   123 0.90 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta         -            998 F1557_NODE_5370_length_832_cov_2.634492_1 -            277    0.0015    9.3   9.1   1   1   0.00014    0.0016    9.2   9.1   729   934   107   273    36   277 0.57 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -            604 F1557_NODE_5370_length_832_cov_2.634492_1 -            277      0.16    2.7  18.8   1   1     0.018       0.2    2.4  18.8   426   523   150   249   121   275 0.27 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -            586 F1557_NODE_5370_length_832_cov_2.634492_1 -            277       1.1   -0.3  21.8   1   1      0.12       1.4   -0.6  21.8    15   124   148   257   132   276 0.44 -
ALL_FINAL_RdRp_cores_0.3.clstr_552.Palmdb.0.4.fasta -            559 F1557_NODE_5370_length_832_cov_2.634492_1 -            277       1.7   -0.7  20.2   1   1      0.19       2.1   -1.1  20.2   427   528   155   257   134   275 0.41 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -            738 F1557_NODE_5370_length_832_cov_2.634492_1 -            277       1.9   -1.0  15.1   1   1      0.21       2.4   -1.3  15.1    18   119   160   246   131   274 0.32 -
ALL_FINAL_RdRp_cores_0.3.clstr_990.Palmdb.0.4.fasta -            558 F1557_NODE_5370_length_832_cov_2.634492_1 -            277         2   -0.6  21.3   1   1      0.22       2.5   -0.9  21.3   415   541   138   263    92   276 0.33 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -            628 F1557_NODE_5505_length_819_cov_4.689791_1 -            236       3.5   -1.6  15.7   1   1     0.069       4.7   -2.1  15.7    66   205    29   178     2   216 0.22 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta -           1028 F1557_NODE_6053_length_770_cov_2.198601_2 -            256   0.00014   12.7   4.4   1   1   1.9e-05   0.00014   12.7   4.4   141   270    11   140     1   239 0.47 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta       -           1394 F1557_NODE_6053_length_770_cov_2.198601_2 -            256     0.022    5.1  12.0   1   1     0.003     0.023    5.1  12.0    25   400    14    92     1   199 0.31 -
ALL_NCBI_Palmdb_RdRp.Nodamuvirales.0.4.fasta        -            831 F1557_NODE_6053_length_770_cov_2.198601_2 -            256     0.087    3.6  14.0   1   1     0.013       0.1    3.4  14.0    18   176    10   164     1   183 0.34 -
ALL_NCBI_Palmdb_RdRp.Tymovirales.0.4.fasta          -           1021 F1557_NODE_6053_length_770_cov_2.198601_2 -            256     0.097    3.2  14.6   1   1     0.015      0.12    2.9  14.6    24   136    10   122     1   196 0.40 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -            586 F1557_NODE_6053_length_770_cov_2.198601_2 -            256       2.5   -1.4  16.7   1   1      0.48       3.6   -1.9  16.7    20   134    23   121     2   150 0.23 -
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta -            636 F1557_NODE_6053_length_770_cov_2.198601_2 -            256       2.9   -1.4  23.5   1   1      0.45       3.4   -1.6  23.5    34   233     7   203     1   217 0.68 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -            738 F1557_NODE_6053_length_770_cov_2.198601_2 -            256       3.8   -2.0  17.6   1   1      0.63       4.8   -2.3  17.6    27   162     6   145     1   147 0.46 -
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta -            591 F1557_NODE_6053_length_770_cov_2.198601_2 -            256       5.5   -2.7  13.8   1   1       1.2         9   -3.4  13.8     8   115    19   129     3   139 0.39 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -            604 F1557_NODE_6053_length_770_cov_2.198601_2 -            256       5.9   -2.5  17.6   1   1         1       7.7   -2.9  17.6   475   588    11   122     1   142 0.19 -
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta -            925 F1557_NODE_7663_length_652_cov_1.217755_1 -            216   0.00022   11.9   6.3   1   1   3.7e-06   0.00025   11.7   6.3   625   785    39   191     3   207 0.77 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta          -            921 F1559_NODE_15_length_3431_cov_895.395438_2 -            885   4.5e-50  163.4  21.8   1   1   1.2e-50   6.1e-50  163.0  21.8   204   760    82   659    47   710 0.68 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta               -            632 F1559_NODE_15_length_3431_cov_895.395438_2 -            885   2.4e-35  114.1  11.3   1   2   4.7e-36   2.4e-35  114.1  11.3   242   452   255   484   190   504 0.81 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta               -            632 F1559_NODE_15_length_3431_cov_895.395438_2 -            885   2.4e-35  114.1  11.3   2   2      0.26       1.4   -0.7   3.3   456   542   609   713   595   818 0.59 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta        -           1394 F1559_NODE_15_length_3431_cov_895.395438_2 -            885   7.7e-28   89.3  11.6   1   2   1.5e-28   7.7e-28   89.3  11.6   635   836   280   478   266   500 0.86 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta        -           1394 F1559_NODE_15_length_3431_cov_895.395438_2 -            885   7.7e-28   89.3  11.6   2   2      0.59       3.1   -2.0   5.9    96   191   576   671   513   721 0.41 -
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta            -            671 F1559_NODE_15_length_3431_cov_895.395438_2 -            885   5.9e-22   70.1   3.0   1   2   1.1e-22   5.9e-22   70.1   3.0   255   423   296   478   229   482 0.85 -
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta            -            671 F1559_NODE_15_length_3431_cov_895.395438_2 -            885   5.9e-22   70.1   3.0   2   2       1.3       6.9   -2.8   0.1   437   508   551   622   547   726 0.55 -
