vir_group	vir_sp_seq_ID_v2	phylo_virus_species	contig_ID	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus
Xinmoviridae	Xincheng_Mosquito_Virus_F1356C1F1367	Xincheng_Mosquito_Virus	F1356_NODE_1_length_12554_cov_1575.312665	F1356_NODE_1_length_12554_cov_1575.312665_F1356_MapVerif_F1367_detect_F1367_round2_frame2_1	C1	F1356	F1367	phylogenetically related, high RdRp aa similarity ~85%, high genome nt similarity ~70%	this name was used instead of Anphevirus sp., because it is more unique	Xincheng_Mosquito_Virus	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(-)ssRNA	non-segmented	Monjiviricetes	22	1	Anopheles
Peribunyaviridae	Diaggly_virus_F1367C3F1367	Diaggly_virus	F1367_NODE_3_length_7143_cov_133.601298	F1367_NODE_3_length_7143_cov_133.601298_F1367_detect_F1367_round2_F1367_round3_frame3_1	C3	F1367	F1367	phylogenetically related, not high enough RdRp similarity: ~43% aa (~60% in the most conserved region)	https://talk.ictvonline.org/ictv/proposals/2016.027a-dM.A.v2.Phasivirus.pdf based in this, 90% aa identity in the core polymerase domain (1kb)	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(-)ssRNA	segmented	Bunyavirales	23	1	Anopheles
Peribunyaviridae	Diaggly_virus_F1367C4F1367	Diaggly_virus	F1367_NODE_4_length_7142_cov_77.610837	F1367_NODE_4_length_7142_cov_77.610837_F1367_detect_F1367_round2_F1367_round3_frame3_1	C4	F1367	F1367	phylogenetically related, not high enough RdRp similarity: ~43% aa (~60% in the most conserved region)	https://talk.ictvonline.org/ictv/proposals/2016.027a-dM.A.v2.Phasivirus.pdf based in this, 90% aa identity in the core polymerase domain (1kb)	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(-)ssRNA	segmented	Bunyavirales	23	1	Anopheles
Peribunyaviridae	Xinzhou_Mosquito_Virus_F1367C2F1367	Xinzhou_Mosquito_Virus	F1367_NODE_2_length_7664_cov_2925.898935	F1367_NODE_2_length_7664_cov_2925.898935_F1367_detect_F1367_round2_F1367_round3_frame3_1	C2	F1367	F1367	phylogenetically related, high RdRp similarity up to ~81% aa (90% in the most conserved Bunya RdRp region)	https://talk.ictvonline.org/ictv/proposals/2016.027a-dM.A.v2.Phasivirus.pdf based in this, 90% aa identity in the core polymerase domain (1kb)	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(-)ssRNA	segmented	Bunyavirales	23	1	Anopheles
Flaviviridae	Palm_Creek_virus_F1392C1F1225	Palm_Creek_virus	F1392_NODE_1_length_10754_cov_548.269558	F1392_NODE_1_length_10754_cov_548.269558_F1392_MapVerif_F1225_detect_F1225_r2_frame2	C1	F1392	F1225	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Palm_Creek_virus	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(+)ssRNA	non-segmented	Kitrinoviricota	14	2	Coquillettidia
Flaviviridae	Palm_Creek_virus_F1392C1F1392	Palm_Creek_virus	F1392_NODE_1_length_10754_cov_548.269558	F1392_NODE_1_length_10754_cov_548.269558_F1392_MapVerif_F1392_detect_F1392_r2_frame2	C1	F1392	F1392	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Palm_Creek_virus	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(+)ssRNA	non-segmented	Kitrinoviricota	14	2	Coquillettidia
Flaviviridae	Palm_Creek_virus_F1392C1F1551	Palm_Creek_virus	F1392_NODE_1_length_10754_cov_548.269558	F1392_NODE_1_length_10754_cov_548.269558_F1392_MapVerif_F1551_detect_F1551_r2_frame2	C1	F1392	F1551	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Palm_Creek_virus	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(+)ssRNA	non-segmented	Kitrinoviricota	14	2	Coquillettidia
Botourmiaviridae	Erysiphales_ourmia_like_virus_2_F1395C195F1395	Erysiphales_ourmia_like_virus_2	F1395_NODE_195_length_2846_cov_11.463991	F1395_NODE_195_length_2846_cov_11.463991_F1395_round2_F1395_detect_F1395_round2_F1395_round3_frame2_1	C195	F1395	F1395	phylogenetically related, high RdRp aa similarity ~93%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(+)ssRNA	non-segmented	Lenarviricota	19	2	Coquillettidia
Botourmiaviridae	Erysiphe_necator_associated_ourmia_like_virus_33_F1357C209F1226	Erysiphe_necator_associated_ourmia_like_virus_33	F1357_NODE_209_length_2151_cov_308.112595	F1357_NODE_209_length_2151_cov_308.112595_F1357_round2_F1226_detect_F1226_round2_F1226_round3_frame2_1	C209	F1357	F1226	phylogenetically related, high RdRp aa similarity ~84%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(+)ssRNA	non-segmented	Lenarviricota	19	2	Coquillettidia
Phenuiviridae	Ackless_virus_F1539C12F1539	Ackless_virus	F1539_NODE_12_length_6813_cov_660.129032	F1539_NODE_12_length_6813_cov_660.129032_F1539_MapVerif_F1539_detect_F1539_round2_frame2	C12	F1539	F1539	proposed new species name based on the host genus and genetic divergence (70% aa similarity of L segment with RefSeq reference of PCLV, 65% aa similarity with  the novel putative Mansonia phasivirus)	Putative novel species	Coquillettidia_phasivirus	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(-)ssRNA	segmented	Bunyavirales	25	2	Coquillettidia
Solemoviridae	Comfornsto_virus_F1216C3F1183	Comfornsto_virus	F1216_NODE_3_length_2896_cov_592.429426	F1216_NODE_3_length_2896_cov_592.429426_F1216_MapVerif_F1183_detect_F1183_round2_F1183_round3_frame3_1	C3	F1216	F1183	phylogeny unresolved, high genome similarity <61% nt with the closest relatives	At least for Sobemovirus genus, species demarcation is based on the threshold of <75% nt identity of the full genome. Without any other available threshold, using this threshold for the whole Solemoviridae family.	NA	Aedes caecus	mixed custer, internally divergent	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	_	cluster4	(+)ssRNA	non-segmented	Pisuviricota	8	4	NA
Flaviviridae	Accesaty_virus_F1416C39C8C2F1416	Accesaty_virus	F1416_NODEs_39_8_2_finalCxFVlike	F1416_NODEs_39_8_2_finalCxFVlike_F1416_MapVerif_F1416_detect_F1416_r2_frame3	C39C8C2	F1416	F1416	phylogenetically divergent, basal to ref species; low polyprotein similarity ~69%; same host genus	Almost equidistant from Culex flavivirus and Culex theileri flavivirus. If we can verify that the host species is Culex brevipalpis and the assembly is okay, we can propose new species Culex_brevipalpis_flavivirus	Culex_flavivirus_like	Culex brevipalpis	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5	(+)ssRNA	non-segmented	Kitrinoviricota	14	5	Culex
Rhabdoviridae	Ardicrand_virus_F1568C1F1277	Ardicrand_virus	F1568_NODE_1_length_14237_cov_127.790439	F1568_NODE_1_length_14237_cov_127.790439_F1277_detect_F1277_round2_F1277_round3_frame1_1	C1	F1568	F1277	phylogenetically related, not high enough RdRp aa similarity ~81%	Since F1277 was collected first (Oct 10), before F1568 (Oct 21), I will use it's location for the name	Tuol_Kruos_Culex_rhabdovirus_1	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5	(-)ssRNA	non-segmented	Monjiviricetes	21	5	Culex
Rhabdoviridae	Ardicrand_virus_F1568C1F1568	Ardicrand_virus	F1568_NODE_1_length_14237_cov_127.790439	F1568_NODE_1_length_14237_cov_127.790439_F1568_detect_F1568_round2_F1568_round3_frame3_1	C1	F1568	F1568	phylogenetically related, not high enough RdRp aa similarity ~81%. 99% aa identical to the same virus from F1277	Since F1277 was collected first (Oct 10), before F1568 (Oct 21), I will use it's location for the name	Tuol_Kruos_Culex_rhabdovirus_1	Culex quinquefasciatus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5	(-)ssRNA	non-segmented	Monjiviricetes	21	5	Culex
Rhabdoviridae	Arlicasen_virus_F1276C1F1256	Arlicasen_virus	F1276_NODE_1_length_11166_cov_10233.738097	F1276_NODE_1_length_11166_cov_10233.738097_F1256_detect_F1256_round2_F1256_round3_joinORF	C1	F1276	F1256	phylogenetically related, not high enough RdRp aa similarity ~73%	Unfortunately, I'm dealing with a mixed Culex clade again, so will name after location. However, this virus is circulating in essentially very similar mosquitoes from the same clade from the same location. Interesting to investigate if there are any subtle differentces in these mosquito host genetics.	Tuol_Kruos_Culex_rhabdovirus_2	Culex cinctellus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	F1276 closely related to F1256, a bit more distant from the rest of the cluster	cluster5	(-)ssRNA	non-segmented	Monjiviricetes	21	5	Culex
Rhabdoviridae	Arlicasen_virus_F1276C1F1276	Arlicasen_virus	F1276_NODE_1_length_11166_cov_10233.738097	F1276_NODE_1_length_11166_cov_10233.738097_F1276_detect_F1276_round2_F1276_round3_joinORF	C1	F1276	F1276	phylogenetically related, not high enough RdRp aa similarity ~73%	Unfortunately, I'm dealing with a mixed Culex clade again, so will name after location. However, this virus is circulating in essentially very similar mosquitoes from the same clade from the same location. Interesting to investigate if there are any subtle differentces in these mosquito host genetics.	Tuol_Kruos_Culex_rhabdovirus_2	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	F1276 closely related to F1256, a bit more distant from the rest of the cluster	cluster5	(-)ssRNA	non-segmented	Monjiviricetes	21	5	Culex
Rhabdoviridae	Arlicasen_virus_F1276C1F1284	Arlicasen_virus	F1276_NODE_1_length_11166_cov_10233.738097	F1276_NODE_1_length_11166_cov_10233.738097_F1284_detect_F1284_round2_F1284_round3_joinORF	C1	F1276	F1284	phylogenetically related, not high enough RdRp aa similarity ~73%	Unfortunately, I'm dealing with a mixed Culex clade again, so will name after location. However, this virus is circulating in essentially very similar mosquitoes from the same clade from the same location. Interesting to investigate if there are any subtle differentces in these mosquito host genetics.	Tuol_Kruos_Culex_rhabdovirus_2	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5	(-)ssRNA	non-segmented	Monjiviricetes	21	5	Culex
Virgaviridae	Blearence_virus_F1290C1F1290	Blearence_virus	F1290_NODE_1_length_10283_cov_3875.610872	F1290_NODE_1_length_10283_cov_3875.610872_F1290_MapVerif_F1290_detect_F1290_round2_F1290_round3_frame3_1	C1	F1290	F1290	phylogenetically related, not high enough RdRp aa similarity ~67%	_	Culex_nigropunctatus_virga_like_virus	Culex nigropunctatus	correct	Culex nigropunctatus	very clean cluster	cluster6	(+)ssRNA	non-segmented	Kitrinoviricota	12	6	Culex
Botourmiaviridae	Bremia_lactucae_associated_ourmia_like_virus_1_F1015C579F1292	Bremia_lactucae_associated_ourmia_like_virus_1	F1015_NODE_579_length_2145_cov_6.731100	F1015_NODE_579_length_2145_cov_6.731100_F1015_round2_F1292_detect_F1292_round2_F1292_round3_frame1_1	C579	F1015	F1292	phylogenetically related, high RdRp aa similarity ~90-93%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae, Bremia_lactucae_associated_ourmia_like_virus_1 was submitted earlier	NA	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6	(+)ssRNA	non-segmented	Lenarviricota	19	6	Culex
Rhabdoviridae	Grenada_mosquito_rhabdovirus_1_F1429C1F1042	Grenada_mosquito_rhabdovirus_1	F1429_NODE_1_length_14505_cov_534.938062	F1429_NODE_1_length_14505_cov_534.938062_F1042_detect_F1042_round2_F1042_round3_frame2_1	C1	F1429	F1042	phylogenetically highly related, very high RdRp identity of 99.7% aa	There are two synonymous virus species here, and one was deposited to genbank earlier, so I will have to go with the earlier name.	Grenada_mosquito_rhabdovirus_1	Culex quinquefasciatus	mixed, only 2 samples	Culex sp quinquefasciatus or sinensis	close to another sample (sinensis), cannot assign to any cluster	cluster7	(-)ssRNA	non-segmented	Monjiviricetes	21	7	Culex
Totiviridae	Accrood_virus_F1561C1F1258	Accrood_virus	F1561_NODE_1_length_7724_cov_27.884340	F1561_NODE_1_length_7724_cov_27.884340_F1561_MapVerif_F1258_detect_F1258_round2_F1258_round3_frame2_1	C1	F1561	F1258	proposed novel species, phylogenetically related to other other mosquito totiviruses, ~75% RdRp aa similarity to closest relative species	The RdRp aa similarity to MT498827.1_Parry_s_Creek_toti_like_virus_1_QLJ83490.1 is ~75% in the original contig (F1561). The full genome nt similarity is 73%. The other one is a bit gappy, but it’s very close to the original. We can preliminarily propose these contigs as a putative new species Culex gelidus totivirus.	Culex_gelidus_totivirus	Culex gelidus	correct	Culex gelidus	_	cluster8	dsRNA	segmented	Chrymotiviricetes	2	8	Culex
Totiviridae	Accrood_virus_F1561C1F1561	Accrood_virus	F1561_NODE_1_length_7724_cov_27.884340	F1561_NODE_1_length_7724_cov_27.884340_F1561_MapVerif_F1561_detect_F1561_round2_F1561_round3_frame3_1	C1	F1561	F1561	proposed novel species, phylogenetically related to other other mosquito totiviruses, ~75% RdRp aa similarity to closest relative species	The RdRp aa similarity to MT498827.1_Parry_s_Creek_toti_like_virus_1_QLJ83490.1 is ~75% in the original contig (F1561). The full genome nt similarity is 73%. The other one is a bit gappy, but it’s very close to the original. We can preliminarily propose these contigs as a putative new species Culex gelidus totivirus.	Culex_gelidus_totivirus	Culex gelidus	correct	Culex gelidus	_	cluster8	dsRNA	segmented	Chrymotiviricetes	2	8	Culex
Reoviridae	Erroyantry_virus_F1102C96F1102	Erroyantry_virus	F1102_NODE_96_length_4042_cov_224.580637	F1102_NODE_96_length_4042_cov_224.580637_F1102_MapVerif_F1102_detect_F1102_round2_F1102_round3_frame1_1	C96	F1102	F1102	phylogenetically related, not high enough RdRp similarity: ~60% aa	_	NA	Culex gelidus	correct	Culex gelidus	_	cluster8	dsRNA	segmented	Resentoviricetes	3	8	Culex
Negevirus	Parry_s_Creek_negev_like_virus_1_F1103C1F1103	Parry_s_Creek_negev_like_virus_1	F1103_NODE_1_length_10799_cov_1076.610853	F1103_NODE_1_length_10799_cov_1076.610853_F1103_MapVerif_F1103_detect_F1103_round2_F1103_round3_frame3_1	C1	F1103	F1103	phylogenetically related, high polyprotein (with RdRp) similarity: ~87% aa to QLJ83503.1	species demarcation criteria not found, perhaps further literature seqrch needed. Named after the virus that was submitted to GenBank earlier and coincidentally is slightly more similar.	NA	Culex gelidus	correct	Culex gelidus	_	cluster8	(+)ssRNA	non-segmented	Virga-like	13	8	Culex
Negevirus	Parry_s_Creek_negev_like_virus_1_F1103C1F1107	Parry_s_Creek_negev_like_virus_1	F1103_NODE_1_length_10799_cov_1076.610853	F1103_NODE_1_length_10799_cov_1076.610853_F1103_MapVerif_F1107_detect_F1107_round2_F1107_round3_frame3_1	C1	F1103	F1107	phylogenetically related, high polyprotein (with RdRp) similarity: ~87% aa to QLJ83503.1	species demarcation criteria not found, perhaps further literature seqrch needed. Named after the virus that was submitted to GenBank earlier and coincidentally is slightly more similar.	NA	Culex gelidus	correct	Culex gelidus	_	cluster8	(+)ssRNA	non-segmented	Virga-like	13	8	Culex
Flaviviridae	Quang_Binh_virus_F1449C1F1108	Quang_Binh_virus	F1449_NODE_1_length_10804_cov_62.814960	F1449_NODE_1_length_10804_cov_62.814960_F1449_MapVerif_F1108_detect_F1108_r2_frame2	C1	F1449	F1108	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Quang_Binh_virus	Culex gelidus	correct	Culex gelidus	_	cluster8	(+)ssRNA	non-segmented	Kitrinoviricota	14	8	Culex
Flaviviridae	Quang_Binh_virus_F1449C1F1110	Quang_Binh_virus	F1449_NODE_1_length_10804_cov_62.814960	F1449_NODE_1_length_10804_cov_62.814960_F1449_MapVerif_F1110_detect_F1110_r2_frame2	C1	F1449	F1110	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Quang_Binh_virus	Culex gelidus	correct	Culex gelidus	_	cluster8	(+)ssRNA	non-segmented	Kitrinoviricota	14	8	Culex
Narnaviridae	Dabluel_virus_F1559C20F1559	Dabluel_virus	F1559_NODE_20_length_3169_cov_114.399807	F1559_NODE_20_length_3169_cov_114.399807_F1559_MapVerif_F1559_detect_F1559_round2_F1559_round3_frame3_1	C20	F1559	F1559	phylogenetically related, not high enough RdRp similarity: ~40% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex gelidus	correct	Culex gelidus	_	cluster8	(+)ssRNA	non-segmented	Lenarviricota	17	8	Culex
Peribunyaviridae	Qingnian_Mosquito_Virus_F1560C10F1560	Qingnian_Mosquito_Virus	F1560_NODE_10_length_7199_cov_155.988802	F1560_NODE_10_length_7199_cov_155.988802_F1560_detect_F1560_round2_F1560_round3_frame3_1	C10	F1560	F1560	phylogenetically related, high RdRp similarity up to ~96% aa (97% in the most conserved Bunya RdRp region)	https://talk.ictvonline.org/ictv/proposals/2016.027a-dM.A.v2.Phasivirus.pdf based in this, 90% aa identity in the core polymerase domain (1kb)	NA	Culex gelidus	correct	Culex gelidus	_	cluster8	(-)ssRNA	segmented	Bunyavirales	23	8	Culex
Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1560	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_F1560_1xcov_F1560_1xCovRound2_ORFcorrected_frame2	C31	F1339	F1560	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Culex gelidus	correct	Culex gelidus	_	cluster8	(-)ssRNA	segmented	Bunyavirales	25	8	Culex
Totiviridae	Aeriandims_virus_F1156C2F1045	Aeriandims_virus	F1156_NODE_2_length_7200_cov_572.252624	F1156_NODE_2_length_7200_cov_572.252624_F1156_MapVerif_F1045_detect_F1045_round2_F1045_round3_frame2_1	C2	F1156	F1045	proposed novel species, phylogenetically related to other other mosquito totiviruses, ~75% RdRp aa similarity to closest relative species	_	Cambodian_Culex_toti_like_virus	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
Totiviridae	Aeriandims_virus_F1156C2F1142	Aeriandims_virus	F1156_NODE_2_length_7200_cov_572.252624	F1156_NODE_2_length_7200_cov_572.252624_F1156_MapVerif_F1142_detect_F1142_round2_F1142_round3_frame3_1	C2	F1156	F1142	proposed novel species, phylogenetically related to other other mosquito totiviruses, ~75% RdRp aa similarity to closest relative species	_	Cambodian_Culex_toti_like_virus	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
Totiviridae	Aeriandims_virus_F1156C2F1156	Aeriandims_virus	F1156_NODE_2_length_7200_cov_572.252624	F1156_NODE_2_length_7200_cov_572.252624_F1156_MapVerif_F1156_detect_F1156_round2_F1156_round3_frame2_1	C2	F1156	F1156	proposed novel species, phylogenetically related to other other mosquito totiviruses, ~75% RdRp aa similarity to closest relative species	_	Cambodian_Culex_toti_like_virus	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
Totiviridae	Andbire_virus_F1046C18F1046	Andbire_virus	F1046_NODE_18_length_3649_cov_8.459655	F1046_NODE_18_length_3649_cov_8.459655_F1046_MapVerif_F1046_detect_F1046_round2_F1046_round3_frame1_1	C18	F1046	F1046	proposed novel species, phylogenetically related to other other insect totiviruses, ~73% RdRp aa similarity to closest relative species	_	Culex_associated_totivirus_1	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
