target	accession1	rdrp_scan_orf_id	accession2	evalue_full_seq	score_full_seq	bias_full_seq	evalue_best_dom	score_best_dom	bias_best_dom	dom_num_estim_exp	dom_num_estim_reg	dom_num_estim_clu	dom_num_estim_ov	dom_num_estim_env	dom_num_estim_dom	dom_num_estim_rep	dom_num_estim_inc	description_of_target	contig_id	taxon	orf_start	orf_end	orf_sense	orf_len_nt	contig_id_node
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1143_NODE_170_length_3415_cov_1.741071_1	-	0.00026	11.6	0	0.00055	10.5	0	14	1	0	0	1	1	1	1	-	F1143_NODE_170_length_3415_cov_1.741071	Duplornaviricota	451	3414	FORWARD	2963	F1143_NODE_170
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1023_NODE_31_length_3891_cov_4.209072_2	-	9.1e-05	13.1	4	5.1e-05	14	0.6	2	2	1	0	2	2	2	1	-	F1023_NODE_31_length_3891_cov_4.209072	Pisuviricota	2974	83	REVERSE	2891	F1023_NODE_31
ALL_FINAL_RdRp_cores_0.3.clstr_197.Palmdb.0.4.fasta	-	F1186_NODE_1136_length_2162_cov_1.942572_1	-	3.7e-05	14.6	0.1	5e-05	14.1	0.1	11	1	0	0	1	1	1	1	-	F1186_NODE_1136_length_2162_cov_1.942572	NA	2	925	FORWARD	923	F1186_NODE_1136
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1186_NODE_1636_length_1904_cov_16.832342_6	-	0.0014	9	78.8	0.0017	8.8	78.8	1	1	0	0	1	1	1	1	-	F1186_NODE_1636_length_1904_cov_16.832342	Picornavirales	958	2	REVERSE	956	F1186_NODE_1636
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1186_NODE_1702_length_1879_cov_1.657895_2	-	0.00033	11.6	0.1	0.00061	10.7	0.1	14	1	0	0	1	1	1	1	-	F1186_NODE_1702_length_1879_cov_1.657895	Lenarviricota	1185	1	REVERSE	1184	F1186_NODE_1702
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	-	F1186_NODE_1866_length_1810_cov_2.777208_2	-	7.3e-05	13.6	1.3	0.0018	9	0	21	2	0	0	2	2	2	2	-	F1186_NODE_1866_length_1810_cov_2.777208	Tolivirales	2	1810	FORWARD	1808	F1186_NODE_1866
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1130_NODE_773_length_2251_cov_3.265027_4	-	0.0032	7.9	45	0.0052	7.2	45	13	1	0	0	1	1	1	1	-	F1130_NODE_773_length_2251_cov_3.265027	Picornavirales	1576	2	REVERSE	1574	F1130_NODE_773
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta	-	F1514_NODE_1695_length_1228_cov_2.817562_1	-	0.0094	6.6	7.3	0.013	6.1	7.3	13	1	0	0	1	1	1	1	-	F1514_NODE_1695_length_1228_cov_2.817562	Yunchangviricetes	44	1228	FORWARD	1184	F1514_NODE_1695
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1514_NODE_2687_length_1004_cov_2.194942_1	-	0.00016	12.7	4.2	0.00018	12.5	4.2	11	1	0	0	1	1	1	1	-	F1514_NODE_2687_length_1004_cov_2.194942	NA	1004	3	REVERSE	1001	F1514_NODE_2687
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1515_NODE_149_length_2769_cov_7.128224_1	-	3e-04	11.7	0	5e-04	10.9	0	13	1	0	0	1	1	1	1	-	F1515_NODE_149_length_2769_cov_7.128224	Lenarviricota	2576	93	REVERSE	2483	F1515_NODE_149
ALL_FINAL_RdRp_cores_0.3.clstr_295.Palmdb.0.4.fasta	-	F1515_NODE_3561_length_976_cov_1.606949_1	-	0.002	9	11.1	0.0024	8.7	11.1	1	1	0	0	1	1	1	1	-	F1515_NODE_3561_length_976_cov_1.606949	NA	974	3	REVERSE	971	F1515_NODE_3561
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	-	F1490_NODE_6_length_7134_cov_7.580732_3	-	1.3e-98	323.6	4.7	1.7e-98	323.2	4.7	1	1	0	0	1	1	1	1	-	F1490_NODE_6_length_7134_cov_7.580732	Ghabrivirales	3161	24	REVERSE	3137	F1490_NODE_6
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta	-	F1490_NODE_190_length_3011_cov_5.005751_2	-	0.0067	7.3	6.3	0.009	6.9	6.3	11	1	0	0	1	1	1	1	-	F1490_NODE_190_length_3011_cov_5.005751	Hepelivirales	163	2157	FORWARD	1994	F1490_NODE_190
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta	-	F1490_NODE_418_length_2413_cov_3.901612_2	-	0.00067	10.6	7.9	0.001	10	7.9	12	1	0	0	1	1	1	1	-	F1490_NODE_418_length_2413_cov_3.901612	Nidovirales	2413	2	REVERSE	2411	F1490_NODE_418
ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	-	F1191_NODE_3178_length_1002_cov_1.391763_1	-	0.00032	11.1	0	0.00044	10.6	0	11	1	0	0	1	1	1	1	-	F1191_NODE_3178_length_1002_cov_1.391763	Insthoviricetes	3	1001	FORWARD	998	F1191_NODE_3178
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	-	F1031_NODE_523_length_1733_cov_3.171633_1	-	9.7e-05	13.1	11	0.00014	12.6	11	11	1	0	0	1	1	1	1	-	F1031_NODE_523_length_1733_cov_3.171633	Reovirales	156	1733	FORWARD	1577	F1031_NODE_523
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta	-	F1366_NODE_2879_length_1430_cov_1.232000_1	-	0.00019	12.1	2.3	0.00026	11.7	2.3	11	1	0	0	1	1	1	1	-	F1366_NODE_2879_length_1430_cov_1.232000	Patatavirales	1428	1	REVERSE	1427	F1366_NODE_2879
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta	-	F1366_NODE_2903_length_1426_cov_1.992706_1	-	0.0068	7.1	13.3	0.0081	6.8	2.6	21	2	0	0	2	2	2	2	-	F1366_NODE_2903_length_1426_cov_1.992706	Yunchangviricetes	2	1414	FORWARD	1412	F1366_NODE_2903
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1366_NODE_5754_length_983_cov_4.917026_1	-	4.9e-06	17.7	7.1	4.9e-06	17.7	7.1	12	1	0	0	1	1	1	1	-	F1366_NODE_5754_length_983_cov_4.917026	NA	3	983	FORWARD	980	F1366_NODE_5754
ALL_FINAL_RdRp_cores_0.3.clstr_1039.Palmdb.0.4.fasta	-	F1345_NODE_385_length_1233_cov_7.681664_1	-	0.00049	10.8	0.1	0.00076	10.2	0.1	12	1	0	0	1	1	1	1	-	F1345_NODE_385_length_1233_cov_7.681664	NA	3	1232	FORWARD	1229	F1345_NODE_385
Birnaviridae.ALL_RdRp_Palmdb_0.4.fasta	-	F1345_NODE_434_length_1176_cov_4.862623_2	-	0.00036	11.2	0	0.00049	10.7	0	11	1	0	0	1	1	1	1	-	F1345_NODE_434_length_1176_cov_4.862623	Birnaviridae	1175	66	REVERSE	1109	F1345_NODE_434
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1567_NODE_26_length_4313_cov_11.980038_5	-	0.0031	8.5	12.1	0.0063	7.4	12.1	14	1	0	0	1	1	1	1	-	F1567_NODE_26_length_4313_cov_11.980038	NA	4313	3	REVERSE	4310	F1567_NODE_26
ALL_NCBI_Palmdb_RdRp.Milneviricetes.0.4.fasta	-	F1567_NODE_72_length_3566_cov_2.872971_1	-	0.00071	10.2	0	0.0012	9.4	0	13	1	0	0	1	1	1	1	-	F1567_NODE_72_length_3566_cov_2.872971	Milneviricetes	3566	3	REVERSE	3563	F1567_NODE_72
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	-	F1567_NODE_230_length_2657_cov_3.408532_3	-	0.00012	12.8	1.7	0.00019	12.1	1.7	12	1	0	0	1	1	1	1	-	F1567_NODE_230_length_2657_cov_3.408532	Reovirales	2655	1	REVERSE	2654	F1567_NODE_230
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	-	F1039_NODE_258_length_2881_cov_647.872611_2	-	1.7e-77	254.1	5.5	2.1e-77	253.7	5.5	1	1	0	0	1	1	1	1	-	F1039_NODE_258_length_2881_cov_647.872611	Sobelivirales	1602	112	REVERSE	1490	F1039_NODE_258
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1005_NODE_2648_length_1444_cov_5.634989_2	-	0.00057	10.4	27.5	0.00069	10.1	27.5	11	1	0	0	1	1	1	1	-	F1005_NODE_2648_length_1444_cov_5.634989	Picornavirales	1444	2	REVERSE	1442	F1005_NODE_2648
ALL_NCBI_Palmdb_RdRp.Tolivirales_Nter_GDD.0.4.fasta	-	F1019_NODE_263_length_3305_cov_9.376308_1	-	0.00023	12.8	0.1	0.00044	11.8	0.1	14	1	0	0	1	1	1	1	-	F1019_NODE_263_length_3305_cov_9.376308	Tolivirales	22	2826	FORWARD	2804	F1019_NODE_263
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1532_NODE_736_length_2025_cov_2.286294_1	-	0.00031	11.3	0	5e-04	10.6	0	13	1	0	0	1	1	1	1	-	F1532_NODE_736_length_2025_cov_2.286294	Duplornaviricota	1863	1	REVERSE	1862	F1532_NODE_736
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	-	F1533_NODE_1409_length_1791_cov_1.167051_1	-	0.00045	11.1	29.8	0.00056	10.8	29.8	1	1	0	0	1	1	1	1	-	F1533_NODE_1409_length_1791_cov_1.167051	Sobelivirales	704	1789	FORWARD	1085	F1533_NODE_1409
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	-	F1172_NODE_1572_length_1141_cov_1.639963_1	-	3.1e-74	243.2	1.6	3.5e-74	243	1.6	1	1	0	0	1	1	1	1	-	F1172_NODE_1572_length_1141_cov_1.639963	Durnavirales	2	1135	FORWARD	1133	F1172_NODE_1572
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1177_NODE_38_length_2985_cov_20.349829_4	-	9.5e-07	20	17.5	1.3e-06	19.6	17.5	12	1	0	0	1	1	1	1	-	F1177_NODE_38_length_2985_cov_20.349829	Cryppavirales	2424	1	REVERSE	2423	F1177_NODE_38
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1177_NODE_531_length_1629_cov_2.590851_1	-	0.00021	12.3	11.2	0.00027	11.9	11.2	12	1	0	0	1	1	1	1	-	F1177_NODE_531_length_1629_cov_2.590851	Cryppavirales	2	1432	FORWARD	1430	F1177_NODE_531
ALL_FINAL_RdRp_cores_0.3.clstr_441.Palmdb.0.4.fasta	-	F1102_NODE_615_length_2456_cov_2.723865_2	-	0.00042	11	0.3	0.00061	10.5	0.3	11	1	0	0	1	1	1	1	-	F1102_NODE_615_length_2456_cov_2.723865	NA	2456	927	REVERSE	1529	F1102_NODE_615
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	-	F1643_NODE_2912_length_1445_cov_12.306475_3	-	0.0046	8.1	33.4	0.0065	7.6	33.4	12	1	0	0	1	1	1	1	-	F1643_NODE_2912_length_1445_cov_12.306475	Durnavirales	1430	177	REVERSE	1253	F1643_NODE_2912
ALL_FINAL_RdRp_cores_0.3.clstr_297.Palmdb.0.4.fasta	-	F1643_NODE_3041_length_1412_cov_1.521002_1	-	0.0033	8.2	21.4	0.0039	7.9	21.4	11	1	0	0	1	1	1	1	-	F1643_NODE_3041_length_1412_cov_1.521002	NA	1412	420	REVERSE	992	F1643_NODE_3041
ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	-	F1643_NODE_3836_length_1244_cov_2.120269_1	-	7.7e-05	13.1	0.1	9.9e-05	12.8	0.1	11	1	0	0	1	1	1	1	-	F1643_NODE_3836_length_1244_cov_2.120269	Insthoviricetes	1242	250	REVERSE	992	F1643_NODE_3836
ALL_FINAL_RdRp_cores_0.3.clstr_955.Palmdb.0.4.fasta	-	F1643_NODE_4656_length_1113_cov_2.011342_1	-	0.00071	10.3	0.1	0.001	9.7	0.1	11	1	0	0	1	1	1	1	-	F1643_NODE_4656_length_1113_cov_2.011342	NA	1112	3	REVERSE	1109	F1643_NODE_4656
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	-	F1643_NODE_4906_length_1075_cov_3.459804_1	-	0.0034	8.3	12	0.0019	9.1	10.4	13	1	1	0	1	1	1	1	-	F1643_NODE_4906_length_1075_cov_3.459804	Ellioviricetes	1074	1	REVERSE	1073	F1643_NODE_4906
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1471_NODE_305_length_3152_cov_8.978689_1	-	0.0014	9.6	10.1	0.0015	9.5	9.2	13	1	1	0	1	1	1	1	-	F1471_NODE_305_length_3152_cov_8.978689	Cryppavirales	226	2271	FORWARD	2045	F1471_NODE_305
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1471_NODE_797_length_2333_cov_2.609745_1	-	6.8e-05	13.5	0	0.00011	12.9	0	12	1	0	0	1	1	1	1	-	F1471_NODE_797_length_2333_cov_2.609745	Duplornaviricota	3	2333	FORWARD	2330	F1471_NODE_797
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1471_NODE_1163_length_2014_cov_2.015824_1	-	0.00013	12.8	5	0.00019	12.2	5	11	1	0	0	1	1	1	1	-	F1471_NODE_1163_length_2014_cov_2.015824	Ourlivirales	2013	43	REVERSE	1970	F1471_NODE_1163
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta	-	F1471_NODE_1240_length_1974_cov_1.251694_1	-	0.0046	7.5	7	0.0058	7.2	7	11	1	0	0	1	1	1	1	-	F1471_NODE_1240_length_1974_cov_1.251694	Patatavirales	1973	3	REVERSE	1970	F1471_NODE_1240
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1205_NODE_2780_length_1618_cov_4.910429_2	-	0.00024	12.1	8	0.00027	11.9	8	11	1	0	0	1	1	1	1	-	F1205_NODE_2780_length_1618_cov_4.910429	Cryppavirales	1616	3	REVERSE	1613	F1205_NODE_2780
ALL_FINAL_RdRp_cores_0.3.clstr_197.Palmdb.0.4.fasta	-	F1205_NODE_3278_length_1503_cov_1.097376_1	-	3e-04	11.6	0	0.00041	11.1	0	12	1	0	0	1	1	1	1	-	F1205_NODE_3278_length_1503_cov_1.097376	NA	1	1503	FORWARD	1502	F1205_NODE_3278
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1205_NODE_3427_length_1473_cov_1.172073_1	-	0.00016	12.3	0	2e-04	11.9	0	11	1	0	0	1	1	1	1	-	F1205_NODE_3427_length_1473_cov_1.172073	Duplornaviricota	1472	363	REVERSE	1109	F1205_NODE_3427
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1185_NODE_510_length_2126_cov_18.463061_2	-	0.0013	9.6	22.5	0.0022	9	22.5	12	1	0	0	1	1	1	1	-	F1185_NODE_510_length_2126_cov_18.463061	NA	2126	3	REVERSE	2123	F1185_NODE_510
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1007_NODE_205_length_2151_cov_1.554866_1	-	2.8e-06	18.1	0	4.4e-06	17.4	0	12	1	0	0	1	1	1	1	-	F1007_NODE_205_length_2151_cov_1.554866	Duplornaviricota	3	1352	FORWARD	1349	F1007_NODE_205
ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	-	F1007_NODE_2272_length_1051_cov_3.190763_1	-	6e-04	10.9	0	0.00061	10.9	0	11	1	0	0	1	1	1	1	-	F1007_NODE_2272_length_1051_cov_3.190763	Wolframvirales	2	1051	FORWARD	1049	F1007_NODE_2272
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1335_NODE_5988_length_1053_cov_0.815631_1	-	6.8e-05	13.5	0	1e-04	12.9	0	12	1	0	0	1	1	1	1	-	F1335_NODE_5988_length_1053_cov_0.815631	Duplornaviricota	2	1051	FORWARD	1049	F1335_NODE_5988
ALL_FINAL_RdRp_cores_0.3.clstr_297.Palmdb.0.4.fasta	-	F1335_NODE_6156_length_1033_cov_2.796524_1	-	0.0024	8.6	8.1	0.0028	8.4	8.1	11	1	0	0	1	1	1	1	-	F1335_NODE_6156_length_1033_cov_2.796524	NA	988	2	REVERSE	986	F1335_NODE_6156
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1335_NODE_6534_length_993_cov_2.037313_1	-	0.00016	12.2	0	0.00022	11.8	0	11	1	0	0	1	1	1	1	-	F1335_NODE_6534_length_993_cov_2.037313	Duplornaviricota	2	991	FORWARD	989	F1335_NODE_6534
ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	-	F1039_NODE_900_length_1994_cov_16.515214_2	-	0.0051	7.6	4.5	0.0066	7.2	4.5	11	1	0	0	1	1	1	1	-	F1039_NODE_900_length_1994_cov_16.515214	Amarillovirales	1888	848	REVERSE	1040	F1039_NODE_900
ALL_FINAL_RdRp_cores_0.3.clstr_1283.Palmdb.0.4.fasta	-	F1630_NODE_1251_length_1810_cov_19.467806_1	-	0.00021	12.1	2.8	0.00038	11.2	2.8	14	1	0	0	1	1	1	1	-	F1630_NODE_1251_length_1810_cov_19.467806	NA	1630	11	REVERSE	1619	F1630_NODE_1251
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta	-	F1630_NODE_3305_length_1175_cov_1.184821_1	-	0.0041	8.1	9.2	0.0053	7.7	9.2	11	1	0	0	1	1	1	1	-	F1630_NODE_3305_length_1175_cov_1.184821	Hepelivirales	1175	138	REVERSE	1037	F1630_NODE_3305
ALL_FINAL_RdRp_cores_0.3.clstr_197.Palmdb.0.4.fasta	-	F1542_NODE_62_length_3846_cov_8.102611_1	-	0.00045	11	13.3	0.00057	10.7	13.3	11	1	0	0	1	1	1	1	-	F1542_NODE_62_length_3846_cov_8.102611	NA	208	1221	FORWARD	1013	F1542_NODE_62
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	-	F1543_NODE_2_length_10836_cov_97.382989_4	-	2.1e-150	494.8	16.8	2.1e-150	494.8	16.8	16	2	0	0	2	2	2	1	-	F1543_NODE_2_length_10836_cov_97.382989	Monjiviricetes	4582	10683	FORWARD	6101	F1543_NODE_2
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1039_NODE_1184_length_1839_cov_4.127803_2	-	0.00088	10.2	4.2	0.0014	9.5	4.2	13	1	0	0	1	1	1	1	-	F1039_NODE_1184_length_1839_cov_4.127803	NA	1837	2	REVERSE	1835	F1039_NODE_1184
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1390_NODE_2924_length_1261_cov_1.422886_1	-	1.1e-05	16.2	0.2	1.3e-05	15.9	0.2	11	1	0	0	1	1	1	1	-	F1390_NODE_2924_length_1261_cov_1.422886	Pisuviricota	1173	1	REVERSE	1172	F1390_NODE_2924
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	-	F1097_NODE_1_length_12217_cov_2063.855123_4	-	1.9e-190	627.2	0.6	6.9e-190	625.4	0	19	2	0	0	2	2	2	1	-	F1097_NODE_1_length_12217_cov_2063.855123	Monjiviricetes	5607	11930	FORWARD	6323	F1097_NODE_1
ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	-	F1097_NODE_5_length_3277_cov_171.617629_1	-	2.6e-41	134.4	6.9	3.4e-41	134	6.9	12	1	0	0	1	1	1	1	-	F1097_NODE_5_length_3277_cov_171.617629	Wolframvirales	3266	84	REVERSE	3182	F1097_NODE_5
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1099_NODE_213_length_2296_cov_8.308344_1	-	0.001	10	5.4	0.0013	9.6	5.4	11	1	0	0	1	1	1	1	-	F1099_NODE_213_length_2296_cov_8.308344	Cryppavirales	2295	1	REVERSE	2294	F1099_NODE_213
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1099_NODE_374_length_1907_cov_3.205724_2	-	0.0042	8	22.9	0.0057	7.6	22.9	11	1	0	0	1	1	1	1	-	F1099_NODE_374_length_1907_cov_3.205724	NA	29	1906	FORWARD	1877	F1099_NODE_374
ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta	-	F1099_NODE_931_length_1427_cov_3.989796_2	-	7e-04	10.4	17.9	0.00084	10.1	17.9	11	1	0	0	1	1	1	1	-	F1099_NODE_931_length_1427_cov_3.989796	Martellivirales	181	1425	FORWARD	1244	F1099_NODE_931
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1100_NODE_461_length_1657_cov_6.475655_1	-	4.5e-85	279	23.1	4.9e-85	278.9	23.1	1	1	0	0	1	1	1	1	-	F1100_NODE_461_length_1657_cov_6.475655	Ourlivirales	1	1344	FORWARD	1343	F1100_NODE_461
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1117_NODE_157_length_971_cov_3.489083_1	-	2.2e-08	25.4	0.2	2.7e-08	25	0.2	11	1	0	0	1	1	1	1	-	F1117_NODE_157_length_971_cov_3.489083	Lenarviricota	2	970	FORWARD	968	F1117_NODE_157
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	-	F1107_NODE_384_length_1133_cov_22.862709_1	-	1.1e-51	168.3	5.8	1.3e-51	168.1	5.8	11	1	0	0	1	1	1	1	-	F1107_NODE_384_length_1133_cov_22.862709	Monjiviricetes	1	1131	FORWARD	1130	F1107_NODE_384
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1202_NODE_4434_length_1023_cov_17.722107_1	-	0.0067	7.1	10.7	0.0087	6.7	10.7	1	1	0	0	1	1	1	1	-	F1202_NODE_4434_length_1023_cov_17.722107	NA	911	3	REVERSE	908	F1202_NODE_4434
