orf_id	contig_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	vir_group	vir_sp_seq_ID_v2	phylo_virus_species	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus
F1097_NODE_5_length_3277_cov_171.617629_1	F1097_NODE_5_length_3277_cov_171.617629	N	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3266	84	REVERSE	3182	QTW97841.1	1078	52.7	1004	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Riboviria sp.	52.7	F1097_NODE_5_length_3277_cov_171.617629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1097_NODE_7_length_2867_cov_32.811522_1	F1097_NODE_7_length_2867_cov_32.811522	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2865	46	REVERSE	2819	UHM27569.1	945	53.5	918	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sanya narnavirus 11	53.5	F1097_NODE_7_length_2867_cov_32.811522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1098_NODE_3_length_12183_cov_705.053183_4	F1098_NODE_3_length_12183_cov_705.053183	G	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	5643	12062	FORWARD	6419	DAZ85663.1	2116	72.7	2103	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Formosus virus	72.7	Arindly_virus	Rhabdoviridae	Arindly_virus_F1098C3F1087	Arindly_virus	F1098_NODE_3_length_12183_cov_705.053183_F1087_detect_F1087_round2_F1087_round3_frame3_1	C3	F1098	F1087	phylogenetically related, not high enough RdRp aa similarity ~72.3%	All samples are clearly Armigeres subalbatus, so I can name directly after the host species	Armigeres_subalbatus_rhabdovirus	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	(-)ssRNA	non-segmented	Monjiviricetes	21	22	Armigeres
F1098_NODE_3_length_12183_cov_705.053183_4	F1098_NODE_3_length_12183_cov_705.053183	G	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	5643	12062	FORWARD	6419	DAZ85663.1	2116	72.7	2103	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Formosus virus	72.7	Arindly_virus	Rhabdoviridae	Arindly_virus_F1098C3F1090	Arindly_virus	F1098_NODE_3_length_12183_cov_705.053183_F1090_detect_F1090_round2_F1090_round3_frame1_1	C3	F1098	F1090	phylogenetically related, not high enough RdRp aa similarity ~72.3%	All samples are clearly Armigeres subalbatus, so I can name directly after the host species	Armigeres_subalbatus_rhabdovirus	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	(-)ssRNA	non-segmented	Monjiviricetes	21	22	Armigeres
F1098_NODE_3_length_12183_cov_705.053183_4	F1098_NODE_3_length_12183_cov_705.053183	G	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	5643	12062	FORWARD	6419	DAZ85663.1	2116	72.7	2103	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Formosus virus	72.7	Arindly_virus	Rhabdoviridae	Arindly_virus_F1098C3F1095	Arindly_virus	F1098_NODE_3_length_12183_cov_705.053183_F1095_detect_F1095_round2_F1095_round3_frame3_1	C3	F1098	F1095	phylogenetically related, not high enough RdRp aa similarity ~72.3%	All samples are clearly Armigeres subalbatus, so I can name directly after the host species	Armigeres_subalbatus_rhabdovirus	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	(-)ssRNA	non-segmented	Monjiviricetes	21	22	Armigeres
F1098_NODE_3_length_12183_cov_705.053183_4	F1098_NODE_3_length_12183_cov_705.053183	G	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	5643	12062	FORWARD	6419	DAZ85663.1	2116	72.7	2103	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Formosus virus	72.7	Arindly_virus	Rhabdoviridae	Arindly_virus_F1098C3F1098	Arindly_virus	F1098_NODE_3_length_12183_cov_705.053183_F1098_detect_F1098_round2_F1098_round3_frame3_1	C3	F1098	F1098	phylogenetically related, not high enough RdRp aa similarity ~72.3%	All samples are clearly Armigeres subalbatus, so I can name directly after the host species	Armigeres_subalbatus_rhabdovirus	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	(-)ssRNA	non-segmented	Monjiviricetes	21	22	Armigeres
F1098_NODE_3_length_12183_cov_705.053183_4	F1098_NODE_3_length_12183_cov_705.053183	G	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	5643	12062	FORWARD	6419	DAZ85663.1	2116	72.7	2103	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Formosus virus	72.7	Arindly_virus	Rhabdoviridae	Arindly_virus_F1098C3F1099	Arindly_virus	F1098_NODE_3_length_12183_cov_705.053183_F1099_detect_F1099_round2_F1099_round3_frame1_1	C3	F1098	F1099	phylogenetically related, not high enough RdRp aa similarity ~72.3%	All samples are clearly Armigeres subalbatus, so I can name directly after the host species	Armigeres_subalbatus_rhabdovirus	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	(-)ssRNA	non-segmented	Monjiviricetes	21	22	Armigeres
F1098_NODE_3_length_12183_cov_705.053183_4	F1098_NODE_3_length_12183_cov_705.053183	G	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	5643	12062	FORWARD	6419	DAZ85663.1	2116	72.7	2103	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Formosus virus	72.7	Arindly_virus	Rhabdoviridae	Arindly_virus_F1098C3F1219	Arindly_virus	F1098_NODE_3_length_12183_cov_705.053183_F1219_detect_F1219_round2_F1219_round3_frame1_1	C3	F1098	F1219	phylogenetically related, not high enough RdRp aa similarity ~72.3%	All samples are clearly Armigeres subalbatus, so I can name directly after the host species	Armigeres_subalbatus_rhabdovirus	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	(-)ssRNA	non-segmented	Monjiviricetes	21	22	Armigeres
F1100_NODE_461_length_1657_cov_6.475655_1	F1100_NODE_461_length_1657_cov_6.475655	N	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	1	1344	FORWARD	1343	QGY72572.1	619	83.2	446	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Betascleroulivirus	Betascleroulivirus thetaplasmoparae	83.2	F1100_NODE_461_length_1657_cov_6.475655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1117_NODE_14_length_2164_cov_4.907539_2	F1117_NODE_14_length_2164_cov_4.907539	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2164	2	REVERSE	2162	ASA47305.1	1056	99.3	721	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Zhejiang mosquito virus 3	99.3	Zhejiang_mosquito_virus_3_subsp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1449_NODE_1_length_10804_cov_62.814960_2	F1449_NODE_1_length_10804_cov_62.814960	G	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	56	10141	FORWARD	10085	AYP74867.1	3359	99.4	3359	Amarillovirales	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Quang Binh virus	99.4	Quang_Binh_virus_subsp2	Flaviviridae	Quang_Binh_virus_F1449C1F1108	Quang_Binh_virus	F1449_NODE_1_length_10804_cov_62.814960_F1449_MapVerif_F1108_detect_F1108_r2_frame2	C1	F1449	F1108	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Quang_Binh_virus	Culex gelidus	correct	Culex gelidus	_	cluster8	(+)ssRNA	non-segmented	Kitrinoviricota	14	8	Culex
F1449_NODE_1_length_10804_cov_62.814960_2	F1449_NODE_1_length_10804_cov_62.814960	G	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	56	10141	FORWARD	10085	AYP74867.1	3359	99.4	3359	Amarillovirales	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Quang Binh virus	99.4	Quang_Binh_virus_subsp2	Flaviviridae	Quang_Binh_virus_F1449C1F1110	Quang_Binh_virus	F1449_NODE_1_length_10804_cov_62.814960_F1449_MapVerif_F1110_detect_F1110_r2_frame2	C1	F1449	F1110	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Quang_Binh_virus	Culex gelidus	correct	Culex gelidus	_	cluster8	(+)ssRNA	non-segmented	Kitrinoviricota	14	8	Culex
F1449_NODE_1_length_10804_cov_62.814960_2	F1449_NODE_1_length_10804_cov_62.814960	G	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	56	10141	FORWARD	10085	AYP74867.1	3359	99.4	3359	Amarillovirales	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Quang Binh virus	99.4	Quang_Binh_virus_subsp2	Flaviviridae	Quang_Binh_virus_F1449C1F1449	Quang_Binh_virus	F1449_NODE_1_length_10804_cov_62.814960_F1449_MapVerif_F1449_detect_F1449_r2_frame2	C1	F1449	F1449	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Quang_Binh_virus	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Kitrinoviricota	14	9	Culex
F1449_NODE_1_length_10804_cov_62.814960_2	F1449_NODE_1_length_10804_cov_62.814960	G	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	56	10141	FORWARD	10085	AYP74867.1	3359	99.4	3359	Amarillovirales	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Quang Binh virus	99.4	Quang_Binh_virus_subsp2	Flaviviridae	Quang_Binh_virus_F1449C1F1466	Quang_Binh_virus	F1449_NODE_1_length_10804_cov_62.814960_F1449_MapVerif_F1466_detect_F1466_r2_frame2	C1	F1449	F1466	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Quang_Binh_virus	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Kitrinoviricota	14	9	Culex
F1216_NODE_3_length_2896_cov_592.429426_2	F1216_NODE_3_length_2896_cov_592.429426	G	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	1391	3	REVERSE	1388	QRW41864.1	441	84.1	429	Sobelivirales	Pisuviricota	Pisoniviricetes	Sobelivirales	NA	NA	Kellev virus	84.1	Comfornsto_virus	Solemoviridae	Comfornsto_virus_F1216C3F1183	Comfornsto_virus	F1216_NODE_3_length_2896_cov_592.429426_F1216_MapVerif_F1183_detect_F1183_round2_F1183_round3_frame3_1	C3	F1216	F1183	phylogeny unresolved, high genome similarity <61% nt with the closest relatives	At least for Sobemovirus genus, species demarcation is based on the threshold of <75% nt identity of the full genome. Without any other available threshold, using this threshold for the whole Solemoviridae family.	NA	Aedes caecus	mixed custer, internally divergent	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	_	cluster4	(+)ssRNA	non-segmented	Pisuviricota	8	4	NA
F1216_NODE_3_length_2896_cov_592.429426_2	F1216_NODE_3_length_2896_cov_592.429426	G	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	1391	3	REVERSE	1388	QRW41864.1	441	84.1	429	Sobelivirales	Pisuviricota	Pisoniviricetes	Sobelivirales	NA	NA	Kellev virus	84.1	Comfornsto_virus	Solemoviridae	Comfornsto_virus_F1216C3F1216	Comfornsto_virus	F1216_NODE_3_length_2896_cov_592.429426_F1216_MapVerif_F1216_detect_F1216_round2_F1216_round3_frame3_1	C3	F1216	F1216	phylogeny unresolved, high genome similarity <61% nt with the closest relatives	At least for Sobemovirus genus, species demarcation is based on the threshold of <75% nt identity of the full genome. Without any other available threshold, using this threshold for the whole Solemoviridae family.	NA	Armigeres subalbatus	mixed cluster, internally divergent	Culicidae sp Armigeres subalbatus or Culex cinctellus or Mansonia annulifera	_	cluster21	(+)ssRNA	non-segmented	Pisuviricota	8	21	NA
F1017_NODE_110_length_2473_cov_34.363110_1	F1017_NODE_110_length_2473_cov_34.363110	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	2473	440	REVERSE	2033	QKI79844.1	673	73.5	668	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 14	73.5	Erysiphe_necator_associated_ourmia_like_virus_14_subsp1	Botourmiaviridae	Erysiphe_necator_associated_ourmia_like_virus_14_F1017C110F1017	Erysiphe_necator_associated_ourmia_like_virus_14	F1017_NODE_110_length_2473_cov_34.363110_F1017_round2_F1017_detect_F1017_round2_F1017_round3_frame1_1	C110	F1017	F1017	phylogenetically related, high RdRp aa similarity ~73-74%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Lenarviricota	19	28	Aedes
F1018_NODE_1_length_14998_cov_54.605501_1	F1018_NODE_1_length_14998_cov_54.605501	N	ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta	14715	6349	REVERSE	8366	QTW97797.1	2702	61.9	2792	Martellivirales	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Riboviria sp.	61.9	F1018_NODE_1_length_14998_cov_54.605501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1018_NODE_224_length_2856_cov_452.672974_1	F1018_NODE_224_length_2856_cov_452.672974	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2846	9	REVERSE	2837	YP_009337744.1	942	83.5	944	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Hubei narna-like virus 17	83.5	Hubei_narna_like_virus_17_subsp1	Narnaviridae	Hubei_narna_like_virus_17_F1018C224F1018	Hubei_narna_like_virus_17	F1018_NODE_224_length_2856_cov_452.672974_F1018_MapVerif_F1018_detect_F1018_round2_F1018_round3_frame2_1	C224	F1018	F1018	phylogenetically related, high RdRp similarity up to ~83% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. ). I use the virus name that was deposited to Genbank earlier.	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(+)ssRNA	non-segmented	Lenarviricota	17	1	Anopheles
F1517_NODE_31_length_3050_cov_4493.100501_2	F1517_NODE_31_length_3050_cov_4493.100501	G	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	1542	2960	FORWARD	1418	QOI91441.1	441	99.8	441	Sobelivirales	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	NA	Guangzhou sobemo-like virus	99.8	Guangzhou_sobemo_like_virus	Solemoviridae	Guangzhou_sobemo_like_virus_F1517C31F1339	Guangzhou_sobemo_like_virus	F1517_NODE_31_length_3050_cov_4493.100501_F1517_MapVerif_F1339_detect_F1339_round2_F1339_round3_frame3_1	C31	F1517	F1339	phylogenetically related, high genome similarity up to ~98% nt	At least for Sobemovirus genus, species demarcation is based on the threshold of <75% nt identity of the full genome. Without any other available threshold, using this threshold for the whole Solemoviridae family.	NA	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(+)ssRNA	non-segmented	Pisuviricota	8	26	Aedes
F1517_NODE_31_length_3050_cov_4493.100501_2	F1517_NODE_31_length_3050_cov_4493.100501	G	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	1542	2960	FORWARD	1418	QOI91441.1	441	99.8	441	Sobelivirales	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	NA	Guangzhou sobemo-like virus	99.8	Guangzhou_sobemo_like_virus	Solemoviridae	Guangzhou_sobemo_like_virus_F1517C31F1016	Guangzhou_sobemo_like_virus	F1517_NODE_31_length_3050_cov_4493.100501_F1517_MapVerif_F1016_detect_F1016_round2_F1016_round3_frame3_1	C31	F1517	F1016	phylogenetically related, high genome similarity up to ~98% nt	At least for Sobemovirus genus, species demarcation is based on the threshold of <75% nt identity of the full genome. Without any other available threshold, using this threshold for the whole Solemoviridae family.	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Pisuviricota	8	28	Aedes
F1517_NODE_31_length_3050_cov_4493.100501_2	F1517_NODE_31_length_3050_cov_4493.100501	G	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	1542	2960	FORWARD	1418	QOI91441.1	441	99.8	441	Sobelivirales	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	NA	Guangzhou sobemo-like virus	99.8	Guangzhou_sobemo_like_virus	Solemoviridae	Guangzhou_sobemo_like_virus_F1517C31F1017	Guangzhou_sobemo_like_virus	F1517_NODE_31_length_3050_cov_4493.100501_F1517_MapVerif_F1017_detect_F1017_round2_F1017_round3_frame3_1	C31	F1517	F1017	phylogenetically related, high genome similarity up to ~98% nt	At least for Sobemovirus genus, species demarcation is based on the threshold of <75% nt identity of the full genome. Without any other available threshold, using this threshold for the whole Solemoviridae family.	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Pisuviricota	8	28	Aedes
F1517_NODE_31_length_3050_cov_4493.100501_2	F1517_NODE_31_length_3050_cov_4493.100501	G	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	1542	2960	FORWARD	1418	QOI91441.1	441	99.8	441	Sobelivirales	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	NA	Guangzhou sobemo-like virus	99.8	Guangzhou_sobemo_like_virus	Solemoviridae	Guangzhou_sobemo_like_virus_F1517C31F1070	Guangzhou_sobemo_like_virus	F1517_NODE_31_length_3050_cov_4493.100501_F1517_MapVerif_F1070_detect_F1070_round2_F1070_round3_frame3_1	C31	F1517	F1070	phylogenetically related, high genome similarity up to ~98% nt	At least for Sobemovirus genus, species demarcation is based on the threshold of <75% nt identity of the full genome. Without any other available threshold, using this threshold for the whole Solemoviridae family.	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Pisuviricota	8	28	Aedes
