nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_032438	NC_032438_Shayang_virga-like_virus_1	NC_032438_Shayang_virga-like_virus_1	Toxocara	Toxocara	China	China	2014	12384	Shayang virga-like virus 1 strain SYJFC48301 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032442	NC_032442_Beihai_barnacle_virus_2	NC_032442_Beihai_barnacle_virus_2	Thoracica	Thoracica	China	China	2014	9154	Beihai barnacle virus 2 strain BHTH16123 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032449	NC_032449_Beihai_charybdis_crab_virus_1	NC_032449_Beihai_charybdis_crab_virus_1	Charybdis	Charybdis	China	China	2014	6969	Beihai charybdis crab virus 1 strain BHXun33339 RdRp and putative capsid protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032472	NC_032472_Hubei_virga-like_virus_18	NC_032472_Hubei_virga-like_virus_18	Diptera	Diptera	China	China	2014	11189	Hubei virga-like virus 18 strain fly97447 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032483	NC_032483_Xingshan_nematode_virus_1	NC_032483_Xingshan_nematode_virus_1	Nematoda	Nematoda	China	China	2014	11374	Xingshan nematode virus 1 strain XSNXC21749 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_030294	NC_030294_Negev_virus	NC_030294_Negev_virus	Culex vishnui	Culex	NA	NA	NA	9537	Negev virus genes for hypothetical proteins, complete cds, strain: PL17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_029034	NC_029034_Colombian_potato_soil-borne_virus	NC_029034_Colombian_potato_soil-borne_virus	Nicotiana benthamiana	Nicotiana	Colombia	Colombia	2010	6170	Colombian potato soil-borne virus RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_025674	NC_025674_Macrophomina_phaseolina_tobamo-like_virus	NC_025674_Macrophomina_phaseolina_tobamo-like_virus	NA	NA	NA	NA	2003	9524	Macrophomina phaseolina tobamo-like virus strain IL-01 2013, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_025381	NC_025381_Hibiscus_latent_Fort_Pierce_virus	NC_025381_Hibiscus_latent_Fort_Pierce_virus	Hibiscus	Hibiscus	NA	NA	NA	6431	Hibiscus latent Fort Pierce virus genomic RNA, complete genome, isolate: J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_016961	NC_016961_Whataroa_virus	NC_016961_Whataroa_virus	NA	NA	NA	NA	NA	11616	Whataroa virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_016416	NC_016416_Grapevine_leafroll-associated_virus_4	NC_016416_Grapevine_leafroll-associated_virus_4	NA	NA	USA	USA	NA	13830	Grapevine leafroll-associated virus 4, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_016141	NC_016141_Hibiscus_green_spot_virus_2	NC_016141_Hibiscus_green_spot_virus_2	Citrus volkameriana	Citrus	USA	USA	2009	8372	Hibiscus green spot virus 2 isolate WAI 1-1 segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_015552	NC_015552_Passion_fruit_mosaic_virus	NC_015552_Passion_fruit_mosaic_virus	Passiflora incarnata	Passiflora	USA	USA	NA	6791	Passion fruit mosaic virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_011803	NC_011803_Cactus_mild_mottle_virus	NC_011803_Cactus_mild_mottle_virus	Gymnocalycium mihanovichii	Gymnocalycium	NA	NA	NA	6449	Cactus mild mottle virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_003878	NC_003878_Zucchini_green_mottle_mosaic_virus	NC_003878_Zucchini_green_mottle_mosaic_virus	NA	NA	South Korea	South Korea	NA	6513	Zucchini green mottle mosaic virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_003723	NC_003723_Potato_mop-top_virus	NC_003723_Potato_mop-top_virus	NA	NA	Sweden	Sweden	NA	6043	Potato mop-top virus RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_003805	NC_003805_Tobacco_rattle_virus	NC_003805_Tobacco_rattle_virus	NA	NA	NA	NA	NA	6791	Tobacco rattle virus RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_003674	NC_003674_Olive_latent_virus_2	NC_003674_Olive_latent_virus_2	Olea	Olea	NA	NA	NA	2735	Olive latent virus 2 RNA 2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_003672	NC_003672_Peanut_clump_virus	NC_003672_Peanut_clump_virus	NA	NA	NA	NA	NA	5897	Peanut clump virus RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ401002	MZ401002_Tomato_fruit_blotch_virus	MZ401002_Tomato_fruit_blotch_virus	Solanum tuberosum	Solanum	Tunisia	Tunisia	2013	3586	Tomato fruit blotch virus isolate ToFBV_Tn92 putative helicase-RdRP protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON398500	ON398500_Potato_mop-top_virus	ON398500_Potato_mop-top_virus	Solanum tuberosum	Solanum	United Kingdom	United Kingdom: Scotland	NA	6014	Potato mop-top virus isolate DSMZ PV-0582 segment RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON924221	ON924221_Piper_chlorosis_virus	ON924221_Piper_chlorosis_virus	Piper	Piper	Netherlands	Netherlands	NA	6237	Piper chlorosis virus isolate DSMZ PV-1126, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761816	OP761816_Citrus_leprosis_virus_C2	OP761816_Citrus_leprosis_virus_C2	Hibiscus rosa-sinensis	Hibiscus	Colombia	Colombia	NA	8725	MAG: Citrus leprosis virus C2 isolate THM segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761818	OP761818_Citrus_leprosis_virus_C2	OP761818_Citrus_leprosis_virus_C2	Citrus sinensis	Citrus	Colombia	Colombia	NA	8725	MAG: Citrus leprosis virus cytoplasmic type 2 isolate MRNV segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761821	OP761821_Citrus_leprosis_virus_C2	OP761821_Citrus_leprosis_virus_C2	Dieffenbachia	Dieffenbachia	Colombia	Colombia	NA	8726	MAG: Citrus leprosis virus C2 isolate MGD segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761822	OP761822_Citrus_leprosis_virus_C2	OP761822_Citrus_leprosis_virus_C2	Dieffenbachia	Dieffenbachia	Colombia	Colombia	NA	8725	MAG: Citrus leprosis virus cytoplasmic type 2 isolate MGD segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761824	OP761824_Citrus_leprosis_virus_C2	OP761824_Citrus_leprosis_virus_C2	Swinglea glutinosa	Swinglea	Colombia	Colombia	NA	8726	MAG: Citrus leprosis virus cytoplasmic type 2 isolate VSLP segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761826	OP761826_Citrus_leprosis_virus_C2	OP761826_Citrus_leprosis_virus_C2	Swinglea glutinosa	Swinglea	Colombia	Colombia	NA	8726	MAG: Citrus leprosis virus C2 isolate VSLP segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761830	OP761830_Citrus_leprosis_virus_C2	OP761830_Citrus_leprosis_virus_C2	Citrus sinensis	Citrus	Colombia	Colombia	NA	8717	MAG: Citrus leprosis virus C2 isolate MVNC1 segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761832	OP761832_Citrus_leprosis_virus_C2	OP761832_Citrus_leprosis_virus_C2	Citrus sinensis	Citrus	Colombia	Colombia	NA	8736	MAG: Citrus leprosis virus C2 isolate MRNC segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761834	OP761834_Citrus_leprosis_virus_C2	OP761834_Citrus_leprosis_virus_C2	Hibiscus rosa-sinensis	Hibiscus	Colombia	Colombia	NA	8745	MAG: Citrus leprosis virus C2 isolate MLH segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761836	OP761836_Citrus_leprosis_virus_C2	OP761836_Citrus_leprosis_virus_C2	Hibiscus rosa-sinensis	Hibiscus	Colombia	Colombia	NA	8726	MAG: Citrus leprosis virus C2 isolate MHV segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761838	OP761838_Citrus_leprosis_virus_C2	OP761838_Citrus_leprosis_virus_C2	Hibiscus rosa-sinensis	Hibiscus	Colombia	Colombia	NA	8725	MAG: Citrus leprosis virus C2 isolate VHFR segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP761840	OP761840_Citrus_leprosis_virus_C2	OP761840_Citrus_leprosis_virus_C2	Swinglea glutinosa	Swinglea	Colombia	Colombia	NA	8740	MAG: Citrus leprosis virus C2 isolate VSAN segment RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON746566	ON746566_Tonghua_Virga_tick_virus_1	ON746566_Tonghua_Virga_tick_virus_1	NA	NA	China	China: Jilin	2019	10093	MAG: Tonghua Virga tick virus 1 isolate TIGMIC 1 genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OX380366	OX380366_Oxera_neriifolia_associated_virus	OX380366_Oxera_neriifolia_associated_virus	Oxera neriifolia	Oxera	NA	NA	NA	10214	Oxera neriifolia associated virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ615322	MZ615322_Negev_virus	MZ615322_Negev_virus	NA	NA	Brazil	Brazil	2014	9360	Negev virus strain BeAr805503/NEGV genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955067	ON955067_Cordoba_virus	ON955067_Cordoba_virus	Ochlerotatus hexodontus	Ochlerotatus	Finland	Finland: Lappi, Enontekio	2015	6839	MAG: Cordoba virus isolate FIN/L-2018/02 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955068	ON955068_Cordoba_virus	ON955068_Cordoba_virus	Ochlerotatus communis	Ochlerotatus	Finland	Finland: Lappi, Utsjoki	2015	6515	MAG: Cordoba virus isolate FIN/L-2018/06 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955074	ON955074_Cordoba_virus	ON955074_Cordoba_virus	Ochlerotatus communis	Ochlerotatus	Finland	Finland: Pohjois-Pohjanmaa, Kuusamo	2015	2040	MAG: Cordoba virus isolate FIN/PP-2018/82-1 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955085	ON955085_Utsjoki_negevirus_1	ON955085_Utsjoki_negevirus_1	Ochlerotatus cf. punctor/punctodes	Ochlerotatus	Finland	Finland: Lappi, Enontekio	2015	4854	MAG: Utsjoki negevirus 1 isolate FIN/L-2018/03-1 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955131	ON955131_Enontekio_virga-like_virus_1	ON955131_Enontekio_virga-like_virus_1	NA	NA	Finland	Finland: Lappi, Enontekio	2015	6886	MAG: Enontekio virga-like virus 1 isolate FIN/L-2018/90 polyprotein and hypothetical protein genes, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955133	ON955133_Pedersore_virga-like_virus	ON955133_Pedersore_virga-like_virus	NA	NA	Finland	Finland: Etela-Karjala, Joutseno	2017	1667	MAG: Pedersore virga-like virus isolate FIN/EK-2018/40 polyprotein gene, partial cds; and polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955134	ON955134_Pedersore_virga-like_virus	ON955134_Pedersore_virga-like_virus	NA	NA	Finland	Finland: Lappi, Utsjoki	2015	3039	MAG: Pedersore virga-like virus isolate FIN/L-2018/88 polyprotein gene, partial cds; and polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955135	ON955135_Pedersore_virga-like_virus	ON955135_Pedersore_virga-like_virus	NA	NA	Finland	Finland: Lappi, Enontekio	2015	2064	MAG: Pedersore virga-like virus isolate FIN/L-2018/90 polyprotein gene, partial cds; and polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955136	ON955136_Pedersore_virga-like_virus	ON955136_Pedersore_virga-like_virus	NA	NA	Finland	Finland: Pohjanmaa, Pedersore	2015	1498	MAG: Pedersore virga-like virus isolate FIN/Po-2018/31 polyprotein gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON955137	ON955137_Pedersore_virga-like_virus	ON955137_Pedersore_virga-like_virus	NA	NA	Finland	Finland: Uusimaa, Hanko	2017	5122	MAG: Pedersore virga-like virus isolate FIN/U-2018/93 polyprotein gene, partial cds; and polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON860475	ON860475_Ginka_virga-like_virus	ON860475_Ginka_virga-like_virus	NA	NA	Sweden	Sweden	2020	2312	MAG: Ginka virga-like virus isolate k119_5852 RNA-dependent RNA polymerase (RdRp) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP264879	OP264879_Negev-like_virus_#174	OP264879_Negev-like_virus_#174	Culex pipiens	Culex	France	France	2015	3216	MAG: Negev-like virus #174 isolate France_2015 genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP264882	OP264882_Hubei_virga-like_virus_2	OP264882_Hubei_virga-like_virus_2	Culex pipiens	Culex	Tunisia	Tunisia	2015	3003	MAG: Hubei virga-like virus 2 isolate Mediterranean_2015 genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP264893	OP264893_Culex_pipiens-associated_Tunisia_virus	OP264893_Culex_pipiens-associated_Tunisia_virus	Culex pipiens	Culex	Tunisia	Tunisia	2015	1900	MAG: Culex pipiens-associated Tunisia virus isolate Mediterranean_2015 genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP264894	OP264894_Rinkaby_virus	OP264894_Rinkaby_virus	Culex pipiens	Culex	Tunisia	Tunisia	2015	3884	MAG: Rinkaby virus isolate Mediterranean_2015 genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ296932	MZ296932_Potato_mop-top_virus	MZ296932_Potato_mop-top_virus	Solanum tuberosum	Solanum	Colombia	Colombia	1928	6006	Potato mop-top virus isolate BST16_RNA1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW528418	MW528418_Aphis_craccivora_nege-like_virus_1	MW528418_Aphis_craccivora_nege-like_virus_1	Aphididae	Aphididae	China	China	2021	11505	Aphis craccivora nege-like virus 1 isolate HIJ1 replicase protein and hypothetical protein 1 mRNAs, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW528419	MW528419_Myzus_persicae_nege-like_virus_1	MW528419_Myzus_persicae_nege-like_virus_1	Aphididae	Aphididae	Australia	Australia	2021	10778	Myzus persicae nege-like virus 1 isolate LMN1 replicase protein, hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 mRNAs, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW528427	MW528427_Barley_aphid_RNA_virus_4_iso_RP1	MW528427_Barley_aphid_RNA_virus_4_iso_RP1	Aphididae	Aphididae	China	China	2021	9392	Barley aphid RNA virus 4 iso RP1 isolate RST1 replicase protein, hypothetical protein 1, and hypothetical protein 2 mRNAs, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON949947	ON949947_Utsjoki_negevirus_1	ON949947_Utsjoki_negevirus_1	Ochlerotatus hexodontus	Ochlerotatus	Finland	Finland: Lappi, Enontekio	2015	9830	MAG: Utsjoki negevirus 1 isolate FIN/L-2018/90, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ556107	MZ556107_Orbis_virgavirus	MZ556107_Orbis_virgavirus	NA	NA	Brazil	Brazil	2011	761	MAG: Orbis virgavirus isolate personal collection:Marques lab:RNApool5 RNA-dependent RNA polymerase and hypothetical protein genes, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700052	OL700052_Culex_negev-like_virus_1	OL700052_Culex_negev-like_virus_1	Culex pipiens	Culex	China	China: Yunnan	2018	10806	MAG: Culex negev-like virus 1 isolate XY122049 RNA-dependent RNA polymerase, hypothetical protein 1, and hypothetical protein 2 mRNAs, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700068	OL700068_Hubei_virga-like_virus_1	OL700068_Hubei_virga-like_virus_1	Anopheles sinensis	Anopheles	China	China: Yunnan	2018	9143	MAG: Hubei virga-like virus 1 isolate XY25202 hypothetical protein mRNA, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700069	OL700069_Hubei_virga-like_virus_2	OL700069_Hubei_virga-like_virus_2	Culex theileri	Culex	China	China: Yunnan	2018	6507	MAG: Hubei virga-like virus 2 isolate XY57539 RNA-dependent RNA polymerase mRNA, partial cds; and putative coat protein mRNA, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700070	OL700070_Hubei_virga-like_virus_21	OL700070_Hubei_virga-like_virus_21	Anopheles sinensis	Anopheles	China	China: Yunnan	2018	10024	MAG: Hubei virga-like virus 21 isolate XY8801 hypothetical protein mRNA, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700071	OL700071_Hubei_virga-like_virus_23	OL700071_Hubei_virga-like_virus_23	Anopheles sinensis	Anopheles	China	China: Yunnan	2018	4874	MAG: Hubei virga-like virus 23 isolate XY43688 RNA-dependent RNA polymerase mRNA, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
